n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,7,SIGN Bidirectional,7.653060885751024,0.6799999999999999,0.0188625605745788,0.013299541999970188,0.0008819170000151644,0.012071624999975938,,,,,,,,,0.013299541999970188,0.013294416000007914,5.1259999622743635e-06,0.02625308399996129,,,,,,,,,,,,,,,,,,,,,,,,5.120800000213421e-05,12.0,2.0,0.0017302500000369037,0.0004407499999956599,0.00010274999999637657,0.00023770799998601433,4.875000001902663e-06,0.010726874999988922
200,0.1414213562373095,8,Random Projection,7.430721786531219,0.2,0.006791972886354053,0.012386250000020027,0.0008809999999925822,0.01217933299994911,4.745900002944836e-05,0.00041429200001630306,0.00036329200003137885,9.812499996542101e-05,0.00011129099999607206,0.00027137500001117587,9.583999997175852e-06,0.011065541999982997,0.012386250000020027,0.012380960000029972,5.289999990054639e-06,0.02544658299996172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,8,Random Sampling,8.70393090397471,0.3,0.005515759436988177,0.02943808300000228,0.0008809999999925822,0.011246207999988656,,,,,,,,,0.02943808300000228,0.029432334000034643,5.748999967636337e-06,0.04156529099998352,0.0003383750000125474,0.0003997500000423315,0.01405362499997409,8.858399996825028e-05,8.195800000976305e-05,0.01447004200002766,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,8,Non-random,8.407852125357065,0.16,0.007444428261745323,0.03132937499998434,0.0008809999999925822,0.014316291999989517,,,,,,,,,0.03132937499998434,0.03132612400003154,3.2509999527974287e-06,0.04652666699996644,,,,,,,0.019983416000002308,0.01132825000001958,1.4458000009653915e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,8,CountSketch,7.301903955353379,0.17,0.009579124518440146,0.015044084000010116,0.0008809999999925822,0.015227666999976464,,,,,,,,,0.015044084000010116,0.015456166999911147,0.0,0.031152750999979162,,,,,,,,,,9.716699997852629e-05,12.0,6.0,29.0,0.0,0.0004567919999658443,0.0004567919999658443,0.000516666000009991,0.0003938340000217977,0.0001745409999784897,0.0001731670000140184,0.00046454199997469914,1.3916000000335771e-05,0.0127087500000016,,,,,,,,,
200,0.1414213562373095,8,SIGN Bidirectional,7.170110093652207,0.46,0.027374090554998426,0.016156041999977333,0.0008809999999925822,0.012323999999978241,,,,,,,,,0.016156041999977333,0.01614508400007253,1.0957999904803728e-05,0.029361041999948156,,,,,,,,,,,,,,,,,,,,,,,,5.7042000037199614e-05,12.0,2.0,0.0021178749999535285,0.0006882499999960601,0.0002161670000191407,0.0003852500000220971,1.379100001486222e-05,0.012666709000029641
200,0.1414213562373095,9,Random Projection,7.541106610557205,0.19,0.005431953712747586,0.010357707999958166,0.0008642920000170307,0.009815166999999292,4.6875000009549694e-05,0.0004989160000263837,0.00028962499999352076,7.808300000533563e-05,0.0001125000000001819,0.00019904099997347657,4.584000009799638e-06,0.009124457999973856,0.010357707999958166,0.010354081999992104,3.6259999660614994e-06,0.021037166999974488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,9,Random Sampling,9.130478955176638,0.38,0.01097671888302243,0.029037040999980945,0.0008642920000170307,0.011562000000026273,,,,,,,,,0.029037040999980945,0.029033167999955367,3.8730000255782215e-06,0.04146333300002425,0.00023304199999074626,0.0002607920000059494,0.010431541000002653,4.354200001444042e-05,5.083399997829474e-05,0.018013416999963283,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,9,Non-random,8.927822298404482,0.2,0.013279056985830984,0.030929334000006747,0.0008642920000170307,0.011398417000009431,,,,,,,,,0.030929334000006747,0.030925916000001052,3.418000005694921e-06,0.04319204300003321,,,,,,,0.020172041000023455,0.010739999999998417,1.3874999979179847e-05,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,9,CountSketch,8.047127690948493,0.27,0.006862453713024047,0.012770667000040703,0.0008642920000170307,0.012251499999990756,,,,,,,,,0.012770667000040703,0.01299224999991111,0.0,0.02588645900004849,,,,,,,,,,4.66669999923397e-05,12.0,11.0,26.0,0.0,0.0002462499999751344,0.0002462499999751344,0.0003573329999539965,0.00037587500003155583,0.00011858299995992638,0.00014329100002896666,0.00028850000001057197,8.791999960067187e-06,0.011160709000023417,,,,,,,,,
