n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,9,Non-random,8.92782229840451,0.2,0.0132790569858309,0.0933952500054147,0.0004152499896008,0.0017102920101024,,,,,,,,,0.0933952500054147,0.09339379100129,1.4590041246265173e-06,0.0955207920051179,,,,,,,0.0070443750009872,0.0863417079963255,7.708003977313638e-06,,,,,,,,,
200,0.1414213562373095,10,Random Projection,7.2056393852486025,0.3299999999999999,0.0122957763610576,0.0371296659868676,0.0004718330164905,0.0038177499955054,1.1208001524209976e-05,0.0001442499924451,4.483398515731096e-05,3.0458002584055063e-05,2.558401320129633e-05,3.1167000997811556e-05,2.042012056335807e-06,0.0368385420006234,0.0371296659868676,0.0371280850085895,1.5809782780706882e-06,0.0414192489988636,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,10,Random Sampling,9.18538296562345,0.27,0.0089546317780201,0.1157277919992338,0.0004718330164905,0.0030680000199936,,,,,,,,,0.1157277919992338,0.1157242909830529,3.501016180962324e-06,0.119267625035718,0.0002472919877618,0.0003743749985005,0.0029272910032887,8.008300210349262e-05,0.0001600830000825,0.1119351669913157,,,,,,,,,,,,
200,0.1414213562373095,10,Non-random,8.670869095773186,0.2,0.0050739016271279,0.0794123329978901,0.0004718330164905,0.009779999993043,,,,,,,,,0.0794123329978901,0.0794105830136686,1.7499842215329409e-06,0.0896641660074237,,,,,,,0.0049649580032564,0.0744371660111937,8.458999218419194e-06,,,,,,,,,
200,0.1414213562373095,11,Random Projection,6.9948579325339555,0.26,0.0048810614040005,0.0505917080154176,0.0009675409819465,0.0029133339994587,2.4125009076669812e-05,0.0004625829751603,0.0001833330024965,7.666699821129441e-05,9.295900235883892e-05,6.895899423398077e-05,5.08397351950407e-06,0.0496737500070594,0.0505917080154176,0.0505874599621165,4.248053301125765e-06,0.0544725829968228,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,11,Random Sampling,8.984310886389165,0.44,0.0106593693507987,0.0337542089982889,0.0009675409819465,0.0027447920001577,,,,,,,,,0.0337542089982889,0.0337509580131154,3.250985173508525e-06,0.0374665419803932,0.0002452910121064,0.0005427910073194,0.003151709010126,1.8749997252598405e-05,5.4625008488073945e-05,0.0297377919778227,,,,,,,,,,,,
200,0.1414213562373095,11,Non-random,8.663812041267722,0.15,0.0074983113527181,0.0618511670036241,0.0009675409819465,0.0051765829848591,,,,,,,,,0.0618511670036241,0.0618487920146435,2.374988980591297e-06,0.0679952909704297,,,,,,,0.0100460420071613,0.0517971249937545,5.62501372769475e-06,,,,,,,,,
200,0.1414213562373095,12,Random Projection,7.193038512052308,0.68,0.0214473625493721,0.0827799580001737,0.0011155419924762,0.0026554579962976,2.4874985683709383e-05,0.0003049579972866,0.0001478340127505,6.979098543524742e-05,9.06249915715307e-05,6.024999311193824e-05,4.875008016824722e-06,0.0820736660098191,0.0827799580001737,0.0827768739836756,3.0840164981782436e-06,0.0865509579889476,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,12,Random Sampling,8.180063222154391,0.28,0.0054599356854818,0.0267257500090636,0.0011155419924762,0.0217893750232178,,,,,,,,,0.0267257500090636,0.0267209170269779,4.832982085645199e-06,0.0496306670247577,0.00037691599573,0.0004539170186035,0.004026500013424,0.0001037920010276,8.612498641014099e-05,0.0216736670117825,,,,,,,,,,,,
200,0.1414213562373095,12,Non-random,8.629542997735832,0.18,0.0090482423827141,0.092355166998459,0.0011155419924762,0.012402041000314,,,,,,,,,0.092355166998459,0.0923512069857679,3.960012691095471e-06,0.1058727499912493,,,,,,,0.0536301659885793,0.0386510000098496,7.004098733887076e-05,,,,,,,,,
200,0.1414213562373095,13,Random Projection,7.437946339356117,0.21,0.009139584296774,0.035063249990344,0.0004988749860785,0.0169339170097373,1.2083008186891677e-05,0.000145917001646,4.975000047124922e-05,3.383401781320572e-05,2.5667017325758937e-05,3.374999505467713e-05,2.374988980591297e-06,0.0347583330003544,0.035063249990344,0.0350617090298328,1.5409605111926794e-06,0.0524960419861599,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,13,Random Sampling,9.22934898612083,0.31,0.0198567559769816,0.0428485829907003,0.0004988749860785,0.0057452080072835,,,,,,,,,0.0428485829907003,0.0428457930102013,2.789980499073863e-06,0.0490926659840624,0.0008158339769579,0.0002056660014204,0.0010855840228032,3.833300434052944e-05,5.3333991672843695e-05,0.0406470420130062,,,,,,,,,,,,
200,0.1414213562373095,13,Non-random,8.565774748178978,0.16,0.0023126515309371,0.0409473750041797,0.0004988749860785,0.0041250840004067,,,,,,,,,0.0409473750041797,0.040945582994027,1.7920101527124643e-06,0.0455713339906651,,,,,,,0.0194081669906154,0.0215302500000689,7.166003342717886e-06,,,,,,,,,
200,0.1414213562373095,14,Random Projection,7.398503643146033,0.69,0.021806345370354,0.0382756250037346,0.0005586250044871,0.0081327089865226,2.379098441451788e-05,0.0003072080144193,0.0001530830049887,7.083298987708986e-05,9.041701559908688e-05,5.82499778829515e-05,4.750007065013051e-06,0.0375647910113912,0.0382756250037346,0.0382731230056379,2.501998096704483e-06,0.0469669589947443,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,14,Random Sampling,9.498581148022526,0.43,0.0071220420444396,0.0233496250002644,0.0005586250044871,0.0012902499875053,,,,,,,,,0.0233496250002644,0.0233481260365806,1.4989636838436129e-06,0.0251984999922569,0.0003045000194106,0.0002987920015584,0.0010098750062752,2.2042018827050924e-05,5.549998604692519e-05,0.0216574170044623,,,,,,,,,,,,
200,0.1414213562373095,14,Non-random,8.534053694650552,0.29,0.0094579289585838,0.0583514999889303,0.0005586250044871,0.0071800000150687,,,,,,,,,0.0583514999889303,0.0583502920053433,1.207983586937189e-06,0.0660901250084862,,,,,,,0.0167039170046336,0.0416387090226635,7.665978046134114e-06,,,,,,,,,
