n,alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
800,0.07071067811865475,7,SIGN,0.07959720795042813,0.01023741695098579,0.08264104183763266,4.441710188984871e-05,12,2,0.00719304196536541,0.004929332993924618,0.002337167039513588,5.88749535381794e-05,5.499925464391708e-06,0.0650204170960933,0.07959720795042813,0.07958875107578933,8.456874638795853e-06,0.17247566673904657
800,0.07071067811865475,8,SIGN,0.08194112498313189,0.007729958975687623,0.09704654198139906,4.9833906814455986e-05,12,2,0.005637292051687837,0.002687125001102686,0.00023983302526175976,6.0791848227381706e-05,5.041947588324547e-06,0.07325654197484255,0.08194112498313189,0.08193645975552499,4.665227606892586e-06,0.18671762594021857
800,0.07071067811865475,9,SIGN,0.08459041686728597,0.012649334035813808,0.08263512491248548,4.891608841717243e-05,12,2,0.007390375016257167,0.0038134169299155474,0.001064833952113986,0.0001025001984089613,1.1916039511561394e-05,0.07214970816858113,0.08459041686728597,0.08458166639320552,8.750474080443382e-06,0.17987487581558526
800,0.07071067811865475,10,SIGN,0.12462308304384351,0.01050866604782641,0.07925829105079174,4.733400419354439e-05,12,2,0.010219665942713618,0.00514833303168416,0.0004430420231074095,6.537488661706448e-05,5.250098183751106e-06,0.10868862504139543,0.12462308304384351,0.12461762502789497,5.458015948534012e-06,0.21439004014246166
800,0.07071067811865475,11,SIGN,0.06450854195281863,0.01821379200555384,0.08316108281724155,4.554097540676594e-05,12,2,0.000993208959698677,0.002875333186239004,0.004653875017538667,5.333311855792999e-05,4.9578957259655e-06,0.0558784999884665,0.06450854195281863,0.06450474914163351,3.7928111851215363e-06,0.16588341677561402
800,0.07071067811865475,12,SIGN,0.09253900009207428,0.016857249895110726,0.06843566708266735,4.75000124424696e-05,12,2,0.008189749903976917,0.002479666844010353,0.00025708298198878765,5.945819430053234e-05,5.667097866535187e-06,0.0814951250795275,0.09253900009207428,0.09253425011411309,4.749977961182594e-06,0.17783191706985235
800,0.07071067811865475,13,SIGN,0.07664175005629659,0.010088416980579495,0.08417512499727309,5.516689270734787e-05,12,2,0.006486415863037109,0.004178541945293546,0.0010082090739160776,9.808293543756008e-05,1.1041993275284767e-05,0.06479679211042821,0.07664175005629659,0.07663425081409514,7.499242201447487e-06,0.17090529203414917
800,0.07071067811865475,14,SIGN,0.09157491708174348,0.010110583156347275,0.07869437499903142,4.583294503390789e-05,12,2,0.002658416051417589,0.005353833083063364,0.0010123332031071186,9.774998761713505e-05,1.2250151485204697e-05,0.08238845900632441,0.09157491708174348,0.09156887442804873,6.0426536947488785e-06,0.18037987523712218
800,0.07071067811865475,15,SIGN,0.09286383306607604,0.011441458016633987,0.08748141606338322,4.470790736377239e-05,12,2,0.005438958061859012,0.0034574999008327723,0.00713758310303092,0.00010233302600681782,1.1249911040067673e-05,0.07666479190811515,0.09286383306607604,0.09285712381824851,6.709247827529907e-06,0.19178670714609325
800,0.07071067811865475,16,SIGN,0.07252083299681544,0.009136917069554329,0.07064249995164573,4.624994471669197e-05,12,2,0.005232000024989247,0.0048802499659359455,0.0006699590012431145,9.841704741120338e-05,1.2042000889778137e-05,0.06157591589726508,0.07252083299681544,0.07251483388245106,5.999114364385605e-06,0.1523002500180155
800,0.07071067811865475,17,SIGN,0.06981516582891345,0.011953416978940368,0.07879620790481567,4.687486216425896e-05,12,2,0.006062708096578717,0.0032294169068336487,0.0022596658673137426,8.850009180605412e-05,1.1875061318278313e-05,0.058109415927901864,0.06981516582891345,0.06980845681391656,6.709014996886253e-06,0.1605647907126695
800,0.07071067811865475,18,SIGN,0.08276833407580853,0.010581250069662929,0.06465037493035197,4.570907913148403e-05,12,2,0.006268790923058987,0.0056882500648498535,0.0024044159799814224,0.00013449997641146183,1.295912079513073e-05,0.06820712494663894,0.08276833407580853,0.08276175009086728,6.583984941244125e-06,0.15799995907582343
800,0.07071067811865475,19,SIGN,0.08600916713476181,0.01050450000911951,0.08529991703107953,4.449998959898949e-05,12,2,0.005308249965310097,0.0016777499113231897,0.0035244589671492577,0.00010770885273814201,1.1750031262636185e-05,0.07532966695725918,0.08600916713476181,0.08600408467464149,5.08246012032032e-06,0.18181358417496085
800,0.07071067811865475,20,SIGN,0.06544120889157057,0.009752916870638728,0.07951254211366177,4.4082989916205406e-05,12,2,0.007398209068924189,0.0036669159308075905,0.0009359579998999834,0.0008397498168051243,1.4249933883547783e-05,0.05253574997186661,0.06544120889157057,0.06543491571210325,6.293179467320442e-06,0.15470666787587106
1000,0.06324555320336758,1,SIGN,0.09096329100430012,0.016812165966257453,0.14537520799785852,5.77499158680439e-05,12,2,0.012160999933257699,0.014948750147596002,0.020988750038668513,0.00010191695764660835,1.3042008504271507e-05,0.04268408380448818,0.09096329100430012,0.09095529280602932,7.99819827079773e-06,0.2531506649684161
