K,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
3,1,Random Projection,14.456774291788957,0.0026041666666666,0.0034264153182911,0.052323708019685,0.0247422499815002,0.2317717499972786,6.591601413674653e-05,0.0034345419844612,0.0005235419957898,0.0009723749826662,0.0016846249927766,0.0001474590098951,2.062501152977347e-05,0.0454698340035975,0.052323708019685,0.0523189179948531,4.79002483189106e-06,0.3088377079984639,,,,,,,,,,,,,,,,,,
3,1,Random Sampling,18.671932338623705,0.0182291666666666,0.0051945370295995,0.2379669160000048,0.0247422499815002,0.2537299999967217,,,,,,,,,0.2379669160000048,0.2379598749685101,7.0410314947366714e-06,0.5164391659782268,0.0086426250054501,0.0118752910057082,0.0142603329732082,0.0015502920141443,0.0015114589768927,0.2001198749931063,,,,,,,,,,,,
3,1,Non-random,22.830775059179924,0.0026041666666666,0.0015665796344647,0.2820677920244634,0.0247422499815002,0.3685868330067023,,,,,,,,,0.2820677920244634,0.2820651679940056,2.6240304578095675e-06,0.675396875012666,,,,,,,0.2262998749793041,0.0543415840074885,0.0014237090072128,,,,,,,,,
3,2,Random Projection,14.324302971433296,0.0,0.0032593872264062,0.2181379999965429,0.0373112079978454,0.2078435420116875,7.395801367238164e-05,0.0155629579967353,0.002043540996965,0.0004710000066552,0.0094934590160846,0.0001335830020252,2.2624997654929757e-05,0.1903299170080572,0.2181379999965429,0.21813104103785,6.958958692848682e-06,0.4632927500060759,,,,,,,,,,,,,,,,,,
3,2,Random Sampling,18.297211477963874,0.015625,0.0038484810936207,0.1041927920014131,0.0373112079978454,0.2619739589863457,,,,,,,,,0.1041927920014131,0.1041857509699184,7.0410314947366714e-06,0.4034779589856043,0.0077250419999472,0.0109895830100867,0.0259150839992798,0.0010727919870987,0.0034627089917194,0.0550205409817863,,,,,,,,,,,,
3,2,Non-random,22.895040766003277,0.0,0.0005913628472222,0.4368443340063095,0.0373112079978454,0.1583606250060256,,,,,,,,,0.4368443340063095,0.4368412919866387,3.042019670829177e-06,0.6325161670101807,,,,,,,0.3733052499883342,0.0624098329863045,0.0011262090119998,,,,,,,,,
3,3,Random Projection,14.299145368188585,0.0,0.0047074607214837,0.0727257500111591,0.0268959169916342,0.1844726669951342,6.61670055706054e-05,0.0091649579990189,0.0003227499837521,0.0038310000090859,0.0011229579977225,5.9874990256503224e-05,8.458999218419194e-06,0.058146333991317,0.0727257500111591,0.0727225009759422,3.2490352168679237e-06,0.2840943339979276,,,,,,,,,,,,,,,,,,
3,3,Random Sampling,17.70957530748171,0.0052083333333333,0.0034822796647918,0.1252265420043841,0.0268959169916342,0.1688673330063466,,,,,,,,,0.1252265420043841,0.1252194590342696,7.082970114424825e-06,0.320989792002365,0.0142183330026455,0.0156212090223561,0.0137235000147484,0.001110624987632,0.0013985830009914,0.079147209005896,,,,,,,,,,,,
3,3,Non-random,22.644398883919724,0.0,0.0023139105902778,0.3096807089750655,0.0268959169916342,0.1782081249984912,,,,,,,,,0.3096807089750655,0.309678124031052,2.584944013506174e-06,0.514784750965191,,,,,,,0.2533962909947149,0.0551976250135339,0.001084208022803,,,,,,,,,
3,4,Random Projection,14.085217445726292,0.0026041666666666,0.0046455725381612,0.1073737919796258,0.0213246250059455,0.2220499999821186,7.05840066075325e-05,0.0241699159960262,0.0004273339873179,0.0027074170066043,0.0028190420125611,9.383299038745464e-05,9.584007784724236e-06,0.0770699999993667,0.1073737919796258,0.1073677100066561,6.081972969695926e-06,0.35074841696769,,,,,,,,,,,,,,,,,,
3,4,Random Sampling,18.15523268602751,0.0182291666666666,0.0048256731146219,0.1410086250107269,0.0213246250059455,0.240134667023085,,,,,,,,,0.1410086250107269,0.1410009580140467,7.6669966802001e-06,0.4024679170397576,0.0074271250050514,0.0101381250133272,0.0233770839986391,0.0009692499879747,0.0029000829963479,0.0961892910127062,,,,,,,,,,,,
3,4,Non-random,22.602340553916015,0.0052083333333333,0.0026781064115567,0.3065659169806167,0.0213246250059455,0.236700458015548,,,,,,,,,0.3065659169806167,0.3065643749723676,1.5420082490891218e-06,0.5645910000021104,,,,,,,0.2468730419932399,0.0590478329977486,0.0006434999813791,,,,,,,,,
