K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
3,13,SIGN,0.08016124996356666,0.017654500203207135,0.19031829200685024,7.895799353718758e-05,13,2,0.0084737918805331,0.009265084052458405,0.0028813339304178953,0.00010487507097423077,1.933285966515541e-05,0.05932987481355667,0.08016124996356666,0.08015325060114264,7.999362424015999e-06,0.28813404217362404
3,14,SIGN,0.07404779200442135,0.027838166803121567,0.21135170804336667,0.00010820804163813591,13,2,0.005884667159989476,0.0065865409560501575,0.0019945830572396517,8.141598664224148e-05,9.917188435792923e-06,0.05937550007365644,0.07404779200442135,0.0740408324636519,6.959540769457817e-06,0.3132376668509096
3,15,SIGN,0.08329924987629056,0.021477875066921115,0.2983610830269754,6.683287210762501e-05,13,2,0.004865458933636546,0.006534958956763148,0.002486916957423091,6.624986417591572e-05,9.707873687148094e-06,0.06926383310928941,0.08329924987629056,0.08329395856708288,5.291309207677841e-06,0.40313820797018707
3,16,SIGN,0.0646011249627918,0.020675709005445242,0.31837520794942975,6.616697646677494e-05,13,2,0.005621999967843294,0.0051277498714625835,0.0025980831123888493,9.620888158679008e-05,1.9290950149297714e-05,0.05106516694650054,0.0646011249627918,0.06459466670639813,6.458256393671036e-06,0.4036520419176668
3,17,SIGN,0.06071508303284645,0.02524749981239438,0.2199356670025736,0.00010999990627169609,13,2,0.007771959062665701,0.01032712496817112,0.0009406669996678829,6.837514229118824e-05,8.582836017012596e-06,0.041480291867628694,0.06071508303284645,0.060707000782713294,8.082250133156776e-06,0.30589824984781444
3,18,SIGN,0.06640616711229086,0.018936708103865385,0.20660570892505348,0.00010812492109835148,13,2,0.0073232501745224,0.009361000033095479,0.0015591250266879797,0.00011562509462237358,2.4292152374982834e-05,0.047907957807183266,0.06640616711229086,0.06639937520958483,6.791902706027031e-06,0.2919485841412097
3,19,SIGN,0.07953200000338256,0.02417391585186124,0.15223895898088813,6.737490184605122e-05,13,2,0.008102457970380783,0.0059698340483009815,0.0019070000853389502,0.0001504998654127121,2.5209039449691772e-05,0.06330324988812208,0.07953200000338256,0.07952562579885125,6.374204531311989e-06,0.25594487483613193
3,20,SIGN,0.08009891607798636,0.025937874801456928,0.29362545907497406,0.00012066704221069813,13,2,0.006493333959951997,0.0044672919902950525,0.0024462088476866484,7.341708987951279e-05,1.13749410957098e-05,0.066480791894719,0.08009891607798636,0.08009308576583862,5.830312147736549e-06,0.39966224995441735
4,1,SIGN,0.13937895791605115,0.018727332819253206,0.2928436251822859,0.0008541250135749578,14,2,0.00721625005826354,0.010942667024210095,0.0011477498337626457,0.00010324991308152676,2.0833918824791908e-05,0.11908537498675287,0.13937895791605115,0.13937025074847043,8.707167580723763e-06,0.45094991591759026
4,2,SIGN,0.16169304214417934,0.01842558290809393,0.1826224580872804,7.575005292892456e-05,14,2,0.008990542031824589,0.006940999999642372,0.0020660001318901777,5.75000885874033e-05,1.191697083413601e-05,0.14354404201731086,0.16169304214417934,0.16168675129301846,6.2908511608839035e-06,0.36274108313955367
4,3,SIGN,0.19219620805233717,0.016526041785255075,0.1649035830050707,0.0001296249683946371,14,2,0.018685291055589914,0.008283166913315654,0.0011564171873033047,0.00013841595500707626,2.3209024220705032e-05,0.16377254109829664,0.19219620805233717,0.19218866620212793,7.541850209236145e-06,0.37362583284266293
4,4,SIGN,0.07554874988272786,0.02248904202133417,0.2800772918853909,7.30419997125864e-05,14,2,0.01287854090332985,0.007542249979451299,0.001788583118468523,9.350012987852097e-05,2.595805563032627e-05,0.05313958297483623,0.07554874988272786,0.07554145716130733,7.2927214205265045e-06,0.3781150837894529
4,5,SIGN,0.14443666697479784,0.01843916717916727,0.20922295888885856,7.241684943437576e-05,14,2,0.007343708071857691,0.011647666106000543,0.0008333749137818813,0.00010537495836615562,1.950003206729889e-05,0.12440049997530878,0.14443666697479784,0.14442254090681672,1.4126067981123924e-05,0.3720987930428237
4,6,SIGN,0.09483183384872973,0.02407195884734392,0.19866712507791817,7.229205220937729e-05,14,2,0.008982749888673425,0.005650583887472749,0.0040543340146541595,0.00010416586883366108,1.9290950149297714e-05,0.07594216708093882,0.09483183384872973,0.09482558374293149,6.250105798244476e-06,0.3175709177739918
4,7,SIGN,0.1188207499217242,0.015759540954604745,0.17939925007522106,7.062498480081558e-05,14,2,0.005259959027171135,0.0044293340761214495,0.0006293749902397394,6.9458968937397e-05,9.041046723723412e-06,0.10834729089401662,0.1188207499217242,0.11881508398801088,5.665933713316917e-06,0.31397954095155
4,8,SIGN,0.10383145906962454,0.019310374977067113,0.19045041711069643,8.358410559594631e-05,14,2,0.010055833030492067,0.009689958998933434,0.0011480420362204313,7.308297790586948e-05,1.0416842997074127e-05,0.082761624827981,0.10383145906962454,0.10382254282012582,8.916249498724937e-06,0.3135922511573881
4,9,SIGN,0.125966208986938,0.02059470792300999,0.15587512496858835,7.179193198680878e-05,14,2,0.004174957983195782,0.005522959167137742,0.0023481249809265137,0.00010758312419056892,1.0832911357283592e-05,0.11372200003825128,0.125966208986938,0.12595825013704598,7.958849892020226e-06,0.30243604187853634
4,10,SIGN,0.14264529198408127,0.01537220785394311,0.17563800001516938,7.145805284380913e-05,14,2,0.008588833035901189,0.01058766688220203,0.002109374850988388,6.029196083545685e-05,9.832903742790222e-06,0.12121074995957315,0.14264529198408127,0.1426382076460868,7.084337994456291e-06,0.33365549985319376
4,11,SIGN,0.11452758405357599,0.021047874819487333,0.16463529109023511,7.187505252659321e-05,14,2,0.005493832984939218,0.007145249983295798,0.0018156669102609158,0.00010283314622938633,1.9042054191231728e-05,0.0998719169292599,0.11452758405357599,0.11452041706070304,7.166992872953415e-06,0.30021074996329844
