n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,1,5020315454,4,"2,3",25581,0.0396,0.8971474095051135,0.8494005781481376,1.2612199000000146,0.07910809999998492,0.06358030000001236,0.02924350000000686,0,11.24,24.0,76184,0.015434799999979987,9.490000002188026e-05,0.04804520000004686,1.4039029000000482,0.0048,0.0006,20543,sparse,1.44e-06,1.6e-07,5038,sparse,2.234375,1.5292242000000442,7.909814834594727,212.88671875,211.390625,-1.49609375
5000,2,5020315455,4,"2,3",25541,0.0386,0.899696853072915,0.8521302386114169,1.297187699999995,0.08127890000002935,0.06309920000001057,0.031743499999947744,0,11.2346,32.0,76330,0.015303600000038386,9.990000000925647e-05,0.04769039999996494,1.4415605000000369,0.0048,0.0006,20450,sparse,1.44e-06,1.6e-07,5091,sparse,2.28125,1.5749284999999418,7.90565299987793,211.390625,215.69140625,4.30078125
5000,3,5020315456,4,"2,3",25651,0.0448,0.8840247074962148,0.8335938209271712,1.3159407000000556,0.07744049999996605,0.05904659999998785,0.02923719999989771,0,11.2518,25.0,76026,0.012995100000011917,0.00010530000008657225,0.04594079999992573,1.4524224000000459,0.0048,0.0006,20694,sparse,1.44e-06,1.6e-07,4957,sparse,2.28125,1.5859342999999626,7.92072868347168,215.69140625,215.94921875,0.2578125
5000,4,5020315457,4,"2,3",25578,0.0366,0.9047581032803372,0.8587955452687835,1.3027285999999094,0.0789822000000413,0.06263239999998405,0.02861239999992904,0,11.2446,27.0,76314,0.01484189999996488,0.00010580000002846646,0.04767930000002707,1.4443377999999711,0.0048,0.0006,20511,sparse,1.44e-06,1.6e-07,5067,sparse,2.125,1.5867088999999623,7.912196159362793,215.94921875,215.3828125,-0.56640625
5000,5,5020315458,4,"2,3",25406,0.0336,0.9123152284988167,0.8690096676967017,1.29312630000004,0.07960960000002615,0.064426899999944,0.03316240000003745,0,11.156,25.0,75600,0.015019100000017716,0.00012040000001434237,0.04928129999996145,1.4371567000000596,0.0048,0.0006,20438,sparse,1.44e-06,1.6e-07,4968,sparse,2.140625,1.574864600000069,7.856733322143555,215.3828125,216.09375,0.7109375
5000,6,5020315459,4,"2,3",25696,0.0394,0.8976601664162116,0.8495746771005245,1.3144257999999809,0.08101310000006379,0.062007499999936044,0.032791699999961565,1,11.2998,24.0,76720,0.015074200000071869,0.00010730000008152274,0.04682070000001204,1.45744110000021,0.0048,0.0006,20589,sparse,1.44e-06,1.6e-07,5107,sparse,2.265625,1.5965472000000318,7.948848724365234,216.09375,215.89453125,-0.19921875
5000,7,5020315460,4,"2,3",25518,0.042,0.8911442984021206,0.8426705030467738,1.3143575000000283,0.07649499999990894,0.06061510000006365,0.028946700000005876,0,11.2116,28.0,76030,0.015491300000007868,0.00011549999999260763,0.0450029999999515,1.4514622999998892,0.0048,0.0006,20496,sparse,1.44e-06,1.6e-07,5022,sparse,2.296875,1.577213400000005,7.8909101486206055,215.89453125,216.20703125,0.3125
5000,8,5020315461,4,"2,3",25691,0.0386,0.899680761880372,0.8520604617218571,1.28893979999998,0.07835099999999784,0.06533909999996013,0.02642639999999119,0,11.274,26.0,76244,0.015537900000026639,0.00011879999999564461,0.049677299999984825,1.432624799999985,0.0048,0.0006,20703,sparse,1.44e-06,1.6e-07,4988,sparse,2.265625,1.5549859999999853,7.93310546875,216.20703125,216.3046875,0.09765625
5000,9,5020315462,4,"2,3",25547,0.0478,0.876589168993216,0.8243377265783965,1.2997072000000571,0.0787319999999454,0.05911829999990914,0.02692089999993641,0,11.2316,32.0,76248,0.012938900000108333,9.02000000451153e-05,0.04608389999998508,1.437552200000141,0.0048,0.0006,20483,sparse,1.44e-06,1.6e-07,5064,sparse,2.1875,1.572496499999943,7.9026689529418945,216.3046875,215.40625,-0.8984375
5000,10,5020315463,4,"2,3",25522,0.0408,0.894129801672029,0.8452860426886777,1.3425050000000738,0.08214730000008785,0.06033850000005714,0.029550999999969463,0,11.2008,25.0,75794,0.014700500000003558,0.00015430000007654598,0.045477799999957824,1.4849849000001996,0.0048,0.0006,20562,sparse,1.44e-06,1.6e-07,4960,sparse,2.3125,1.6237126000000899,7.8865461349487305,215.40625,216.03515625,0.62890625
5000,1,5020325461,5,"2,3",22463,0.121,0.7206980365662868,0.6691657818379686,1.1201856000000134,0.07053789999997662,0.09397220000005291,0.03878840000004402,0,9.8686,24.0,67506,0.018996000000015556,0.00010750000001280569,0.07486080000001039,1.2846878000000288,0.0048,0.0006,18046,sparse,1.44e-06,1.6e-07,4417,sparse,2.203125,1.425826700000016,7.04249382019043,216.11328125,215.22265625,-0.890625
