n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,0.1414213562373095,14,Random Sampling,9.498581148022526,0.43,0.007122042044439683,0.023349625000264496,0.0005586250044871122,0.0012902499875053763,,,,,,,,,0.023349625000264496,0.023348126036580652,1.4989636838436127e-06,0.025198499992256984,0.0003045000194106251,0.00029879200155846775,0.0010098750062752515,2.2042018827050924e-05,5.549998604692519e-05,0.02165741700446233,,,
200,0.1414213562373095,14,Non-random,8.534053694650552,0.29000000000000004,0.009457928958583883,0.0583514999889303,0.0005586250044871122,0.007180000015068799,,,,,,,,,0.0583514999889303,0.05835029200534336,1.207983586937189e-06,0.06609012500848621,,,,,,,0.016703917004633695,0.041638709022663534,7.665978046134114e-06
200,0.1414213562373095,15,Random Projection,8.136124788298561,0.28,0.020642278812499554,0.06492354100919329,0.0013298749981913716,0.003183666995028034,1.2707983842119575e-05,0.00014358299085870385,4.8583984607830644e-05,2.995898830704391e-05,2.5542016373947263e-05,3.23750136885792e-05,2.2909953258931637e-06,0.06462712501524948,0.06492354100919329,0.0649221669882536,1.3740209396928549e-06,0.06943708300241269,,,,,,,,,
200,0.1414213562373095,15,Random Sampling,8.882725539875027,0.29000000000000004,0.020891420500370794,0.06677287499769591,0.0013298749981913716,0.005107000004500151,,,,,,,,,0.06677287499769591,0.06676874897675589,4.1260209400206804e-06,0.07320975000038743,0.0037058749876450747,0.0005268749955575913,0.008733458002097905,5.3208001190796494e-05,7.712500519119203e-05,0.05367220798507333,,,
200,0.1414213562373095,15,Non-random,8.750722622884425,0.13,0.011044017723909338,0.07514095798251219,0.0013298749981913716,0.0016610829916317016,,,,,,,,,0.07514095798251219,0.07514020797680132,7.500057108700275e-07,0.07813191597233526,,,,,,,0.010387082991655916,0.0647459999890998,7.124996045604348e-06
200,0.1414213562373095,16,Random Projection,6.9309309005592405,0.36,0.010498486746227886,0.06393170799128711,0.0008072920027188957,0.001311667001573369,2.2500025806948543e-05,0.0004079580248799175,0.0001690829813014716,7.579199154861271e-05,9.566600783728063e-05,7.087501580826938e-05,5.459005478769541e-06,0.06308100000023842,0.06393170799128711,0.06392833305289969,3.3749383874237537e-06,0.06605066699557938,,,,,,,,,
200,0.1414213562373095,16,Random Sampling,9.00768052597726,0.42000000000000004,0.013653402522606745,0.05410783301340416,0.0008072920027188957,0.0012029579957015812,,,,,,,,,0.05410783301340416,0.0541042500117328,3.583001671358943e-06,0.05611808301182464,0.00030566699570044875,0.0005079170223325491,0.002764374978141859,1.679101842455566e-05,4.874999285675585e-05,0.05046075000427663,,,
200,0.1414213562373095,16,Non-random,8.368669692336738,0.23,0.011970973272912577,0.0952610420063138,0.0008072920027188957,0.005611291999230161,,,,,,,,,0.0952610420063138,0.09526012500282377,9.170034900307655e-07,0.10167962600826286,,,,,,,0.00983812499907799,0.08541500000865199,6.999995093792677e-06
200,0.1414213562373095,17,Random Projection,7.341267421946085,0.26,0.010476746648173385,0.05796979201841168,0.0007217919919639826,0.005313083005603403,2.0333012798801064e-05,0.0002967089822050184,8.358398918062449e-05,7.262500002980232e-05,7.03750120010227e-05,5.529099144041538e-05,4.5000051613897085e-06,0.05736391601385549,0.05796979201841168,0.05796733300667256,2.4590117391198874e-06,0.06400466701597907,,,,,,,,,
200,0.1414213562373095,17,Random Sampling,9.497778494182116,0.38,0.05484406688040536,0.048398207989521325,0.0007217919919639826,0.002835874998709187,,,,,,,,,0.048398207989521325,0.048394084005849436,4.123983671888709e-06,0.051955874980194494,0.00038837501779198647,0.00039154200931079686,0.0021194579894654453,5.166701157577336e-05,8.154197712428868e-05,0.045361500000581145,,,
