n,rep,seed,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,rho_n,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rho_label,rho_schedule_value
7000,2,7020281428,3,3,77572,0.00028571428571428574,0.9991429185249113,0.9979033345122774,1.9838969160337,0.14480145799461752,0.08858275006059557,0.026909625041298568,0,33.24514285714286,56.0,469126,0.008024332928471267,8.329201955348253e-05,0.08047104207798839,2.2172770410543308,8.85366542803745,6.504733783864249e-06,7.227481982071388e-07,sparse,4.584655999999995,2.487513708998449,39.4999942779541,338.40625,338.203125,-0.203125,rho_log_n,8.85366542803745
7000,3,7020281429,3,3,78639,0.00028571428571428574,0.9991429184723919,0.9977231246628365,2.00960758398287,0.13800233404617757,0.105577209033072,0.02223004202824086,0,33.70242857142857,60.0,475530,0.006865249946713448,6.312504410743713e-05,0.0986460829153657,2.253184375935234,8.85366542803745,6.504733783864249e-06,7.227481982071388e-07,sparse,4.976015000000018,2.498824749956839,40.041014671325684,338.203125,331.546875,-6.65625,rho_log_n,8.85366542803745
7000,4,7020281430,3,3,78364,0.0,1.0,1.0,2.0353784170001745,0.14354324992746115,0.06148608308285475,0.022172499913722277,0,33.58457142857143,56.0,473934,0.007001874968409538,7.337506394833326e-05,0.054407666088081896,2.2404045830480754,8.85366542803745,6.504733783864249e-06,7.227481982071388e-07,sparse,4.660079999999994,2.5048822079552338,39.90439414978027,331.546875,333.203125,1.65625,rho_log_n,8.85366542803745
7000,5,7020281431,3,3,77796,0.00028571428571428574,0.9991429183673531,0.9977231248927578,2.00050116609782,0.13532712496817112,0.08313237491529435,0.020371749997138977,0,33.341142857142856,53.0,470554,0.007957790978252888,8.470797911286354e-05,0.0750863749999553,2.218957165023312,8.85366542803745,6.504733783864249e-06,7.227481982071388e-07,sparse,4.702079999999967,2.4930860829772428,39.62118339538574,333.203125,350.03125,16.828125,rho_log_n,8.85366542803745
8000,1,8020284427,3,3,90775,0.000125,0.9996249999941407,0.9989886648089724,2.3463675840757787,0.15830608294345438,0.07231466693338007,0.026864249957725406,0,34.040625,58.0,549296,0.013841041014529765,6.704090628772974e-05,0.05840366706252098,2.5769854160025716,8.987196820661973,5.05529821162236e-06,5.616998012913733e-07,sparse,5.098767000000009,2.861784207983874,46.27089500427246,350.03125,357.421875,7.390625,rho_log_n,8.987196820661973
8000,2,8020284428,3,3,90755,0.00025,0.9992498593984924,0.9979772867992217,2.347080000094138,0.1654837920796126,0.07158475008327514,0.025993249961175025,0,34.033125,57.0,549190,0.008272165898233652,9.254098404198885e-05,0.06321554200258106,2.5841440410586074,8.987196820661973,5.05529821162236e-06,5.616998012913733e-07,sparse,4.961711999999977,2.902158916927874,46.26432991027832,357.421875,358.0625,0.640625,rho_log_n,8.987196820661973
8000,3,8020284429,3,3,90874,0.00025,0.9992500000586465,0.9981350192533169,2.3682953750249,0.17004879203159362,0.07387475005816668,0.026295042014680803,0,34.07775,56.0,549908,0.009217874961905181,0.00017224997282028198,0.06447699991986156,2.6122112919110805,8.987196820661973,5.05529821162236e-06,5.616998012913733e-07,sparse,4.784689000000014,2.944535791990347,46.32573986053467,358.0625,327.609375,-30.453125,rho_log_n,8.987196820661973
8000,4,8020284430,3,3,90489,0.00025,0.9992501406484485,0.9979773722960797,2.328289541997947,0.15719941700808704,0.15051445795688778,0.019560832995921373,0,33.933375,56.0,547650,0.007889166008681059,7.262500002980232e-05,0.14254908298607916,2.635999833000824,8.987196820661973,5.05529821162236e-06,5.616998012913733e-07,sparse,5.437471999999957,2.913087374996394,46.127685546875,327.609375,344.015625,16.40625,rho_log_n,8.987196820661973
8000,5,8020284431,3,3,89982,0.000125,0.9996249296728543,0.9989886434563329,2.3393841669894755,0.1582968330476433,0.06561804097145796,0.022886249935254455,0,33.74325,58.0,544768,0.007849124958738685,7.14160269126296e-05,0.057694666902534664,2.5632962079253048,8.987196820661973,5.05529821162236e-06,5.616998012913733e-07,sparse,5.033329999999978,2.853564832941629,45.89023303985596,344.015625,353.375,9.359375,rho_log_n,8.987196820661973
9000,1,9020287427,3,3,103724,0.00022222222222222223,0.9993333518765628,0.9981782503180694,2.683188374969177,0.192613416002132,0.08387287508230656,0.028789459029212594,0,34.574666666666666,55.0,628004,0.01696733303833753,7.879198528826237e-05,0.06682304199784994,2.9596709579927847,9.104979856318357,4.0466577139192696e-06,4.4962863487991885e-07,sparse,5.483089000000007,3.278084250050597,52.91514301300049,353.375,366.484375,13.109375,rho_log_n,9.104979856318357
9000,2,9020287428,3,3,103342,0.0003333333333333333,0.9989999445371184,0.9974075229440249,2.670708957943134,0.19053908390924335,0.07311420899350196,0.025799207971431315,0,34.44733333333333,59.0,625688,0.01598412508610636,7.02079851180315e-05,0.057056874968111515,2.9343592498917133,9.104979856318357,4.0466577139192696e-06,4.4962863487991885e-07,sparse,5.447514000000012,3.281180583056994,52.71707534790039,365.484375,370.53125,5.046875,rho_log_n,9.104979856318357
