n,method,rep,seed,K,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
3000,Random sampling,1,320260427,3,3,4.0,15180,0.04933333333333333,0.8573527265152103,0.7906573651110304,0.4928447080310434,0.033862292068079114,0.09062537492718548,0.0154421660117805,0,0.0,15.18,30.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.002456958987750113,0.005088083911687136,48212,33679,0.7,65267,0.007555707939900458,5.020794924348593e-05,0.08301525004208088,1.0614955111519226,0.7916523127218579,0.6173281660303473,1.6e-05,1.7777777777777777e-06,sparse,2.9817490000000006,0.7839059589896351,8.871603965759277,285.109375,290.0,4.890625
3000,Random sampling,2,320260428,3,3,4.0,15174,0.051333333333333335,0.8518128723017374,0.7840442511946579,0.4953214169945568,0.0338252920191735,0.1228856659727171,0.012516709044575691,0,0.0,15.174,32.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.0024512080708518624,0.004713416914455593,48177,33865,0.7,65587,0.007174583035521209,7.729197386652231e-05,0.11563012504484504,1.0707079942592779,0.7987666175216658,0.6520287090679631,1.6e-05,1.7777777777777777e-06,sparse,2.779797000000002,0.8123753750696778,8.884286880493164,290.0,290.40625,0.40625
3000,Random sampling,3,320260429,3,3,4.0,14850,0.05566666666666667,0.8399034853905482,0.7696253383880185,0.4800397080834955,0.03356416698079556,0.10168358392547816,0.013901500031352043,0,0.0,14.85,32.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.002425416954793036,0.005415208055637777,47234,32948,0.7,63799,0.007898583076894283,0.00010633398778736591,0.09367375005967915,1.0604460767166566,0.7957135286858491,0.6152825421886519,1.6e-05,1.7777777777777777e-06,sparse,2.6696560000000034,0.768626790959388,8.693096160888672,290.40625,292.65625,2.25
3000,Random sampling,4,320260430,3,3,4.0,14997,0.051,0.8527882669930988,0.7850757694873202,0.5045673339627683,0.03293749992735684,0.09085816598962992,0.014868541969917715,0,0.0,14.997,28.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.0022842499893158674,0.00495133304502815,47658,33163,0.7,64248,0.00724570790771395,4.7874986194074154e-05,0.0835614160168916,1.0594678812633724,0.7949253263819382,0.6283598328009248,1.6e-05,1.7777777777777777e-06,sparse,2.663885999999991,0.7790952090872452,8.765871047973633,292.65625,292.71875,0.0625
3000,Random sampling,5,320260431,3,3,4.0,15076,0.058,0.8334830496016057,0.7642214204756905,0.5194176250370219,0.03288783296011388,0.10128545900806785,0.014134791912510991,0,0.0,15.076,32.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.002408791915513575,0.004944292013533413,47946,33674,0.7,65276,0.007384707918390632,5.3541967645287514e-05,0.09384404099546373,1.062124161976202,0.7881845118206224,0.6535877488786355,1.6e-05,1.7777777777777777e-06,sparse,2.751842999999994,0.8017145409248769,8.839753150939941,292.71875,293.90625,1.1875
3000,Random sampling,6,320260432,3,3,4.0,15250,0.06566666666666666,0.8125193344594805,0.7390723615783518,0.47851000004447997,0.03290516696870327,0.08862829196732491,0.018674249993637204,0,0.0,15.25,29.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.002407749998383224,0.00487733306363225,48458,33857,0.7,65633,0.007294249953702092,8.870800957083702e-05,0.08124233409762383,1.0591750970226033,0.786722415790068,0.60004045907408,1.6e-05,1.7777777777777777e-06,sparse,2.7534770000000037,0.7585362499812618,8.920830726623535,293.90625,294.09375,0.1875
3000,Random sampling,7,320260433,3,3,4.0,14886,0.057,0.8363308410741483,0.765992201607015,0.4622817080235109,0.03232900006696582,0.07300937501713634,0.01439341704826802,0,0.0,14.886,28.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.002311958000063896,0.00474645895883441,47366,33103,0.7,64110,0.007067749975249171,4.8166955821216106e-05,0.06588920904323459,1.0613255565387196,0.7902137478203405,0.5676158340647817,1.6e-05,1.7777777777777777e-06,sparse,2.445625000000007,0.7173461249331012,8.716017723083496,294.09375,295.953125,1.859375
3000,Random sampling,8,320260434,3,3,4.0,15233,0.059666666666666666,0.8288502590597611,0.7572450769330272,0.5162720839725807,0.03301541705150157,0.07691741595044732,0.019526708056218922,0,0.0,15.233,33.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.0023676659911870956,0.004748875042423606,48322,33930,0.7,65762,0.007143749971874058,4.7375098802149296e-05,0.06972287502139807,1.0645690442202649,0.7959284018921197,0.6262015011161566,1.6e-05,1.7777777777777777e-06,sparse,2.6414940000000087,0.7830477090319619,8.91225528717041,295.953125,297.796875,1.84375
3000,Random sampling,9,320260435,3,3,4.0,15192,0.051,0.8527442515932893,0.785168986804501,0.48585933295544237,0.033085000002756715,0.11065504199359566,0.012528917053714395,0,0.0,15.192,29.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.002385708037763834,0.0048379580257460475,48255,33581,0.7,65057,0.007232833071611822,7.691700011491776e-05,0.10334229201544076,1.0595462304443757,0.7889137225716797,0.6295963750453666,1.6e-05,1.7777777777777777e-06,sparse,2.8527950000000004,0.7823802089551464,8.873272895812988,297.796875,298.8125,1.015625
3000,Random sampling,10,320260436,3,3,4.0,15256,0.057,0.8362250182426479,0.7652913079393464,0.49004137504380196,0.033417082973755896,0.08395437500439584,0.016359791974537075,0,0.0,15.256,31.0,15081.793777777777,5.0272645925925925,15.081793777777778,0.11088886422225243,0.0023825829848647118,0.0048802499659359455,48421,33854,0.7,65655,0.007290625013411045,4.850002005696297e-05,0.07661212491802871,1.05771248627842,0.7894129206029886,0.6074097079690546,1.6e-05,1.7777777777777777e-06,sparse,2.796921999999995,0.7764262909768149,8.9197998046875,298.8125,301.75,2.9375
