alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
0.05,8,Random Projection,0.291795999975875,0.02242699998896569,0.13421962500433438,6.874999962747097e-05,0.00312212499557063,0.0006783750141039491,0.0020241249876562506,0.003787791996728629,0.00013033297727815807,2.170799416489899e-05,0.281955915997969,0.291795999975875,0.291789123963099,6.876012776046991e-06,0.4484426249691751,,,,,,,,,
0.05,8,Random Sampling,0.16121508399373852,0.02242699998896569,0.12409587498405017,,,,,,,,,0.16121508399373852,0.16120883394614793,6.250047590583563e-06,0.3077379589667544,0.005636166984913871,0.010731874994235113,0.053007832990260795,0.0010382499895058572,0.0030700839997734874,0.08772462498745881,,,
0.05,8,Non-random,0.4302247909945436,0.02242699998896569,0.15015941701130942,,,,,,,,,0.4302247909945436,0.43022320803720504,1.5829573385417461e-06,0.6028112079948187,,,,,,,0.2494819579878822,0.18005279102362692,0.00068845902569592
0.05,9,Random Projection,0.27985833398997784,0.027523625001776963,0.16641341600916348,7.516701589338481e-05,0.007035666989395395,0.00039308299892582,0.004240749985910952,0.0043325829901732504,7.866701344028115e-05,9.58298915065825e-06,0.2636876670003403,0.27985833398997784,0.27985316698323004,5.1670067477971315e-06,0.4737953750009183,,,,,,,,,
0.05,9,Random Sampling,0.2655284579959698,0.027523625001776963,0.14263625000603497,,,,,,,,,0.2655284579959698,0.2655207500210963,7.707974873483181e-06,0.43568833300378174,0.007460334018105641,0.017623749998165295,0.06405345801613294,0.0020797079778276384,0.006341375003103167,0.16796212500776164,,,
0.05,9,Non-random,0.5072225829935633,0.027523625001776963,0.16712970801745541,,,,,,,,,0.5072225829935633,0.5072204159805551,2.167013008147478e-06,0.7018759160127956,,,,,,,0.2958232910023071,0.2106738750007935,0.0007232499774545431
0.05,10,Random Projection,0.30023150000488386,0.02619683399097994,0.16186333398218267,7.070798892527819e-05,0.011550208000699058,0.00021062500309199095,0.0013479579938575625,0.0014163749874569476,0.00011562500731088221,2.0124978618696332e-05,0.2854940420074854,0.30023150000488386,0.3002256659674458,5.834037438035011e-06,0.48829166797804646,,,,,,,,,
0.05,10,Random Sampling,0.19116833299631253,0.02619683399097994,0.13096862498787232,,,,,,,,,0.19116833299631253,0.1911602930049412,8.039991371333599e-06,0.3483337919751648,0.008639959007268772,0.012705375003861263,0.055034249991877005,0.0041524159896653146,0.002259959001094103,0.10836833401117474,,,
0.05,10,Non-random,0.3989208750135731,0.02619683399097994,0.1631784590135794,,,,,,,,,0.3989208750135731,0.39891654101666063,4.3339969124644995e-06,0.5882961680181324,,,,,,,0.24151662501390092,0.15109695799765177,0.006302958005107939
0.05,11,Random Projection,0.20094358301139437,0.015069582994328812,0.14241770797525533,6.337501690723002e-05,0.0106493329803925,0.0019608330039773136,0.0007328749925363809,0.0009804580186028033,7.141599780879915e-05,9.374984074383974e-06,0.18647170800250024,0.20094358301139437,0.20093937299679965,4.210014594718814e-06,0.3584308739809785,,,,,,,,,
0.05,11,Random Sampling,0.3327294159971643,0.015069582994328812,0.1481797500164248,,,,,,,,,0.3327294159971643,0.33272266801213846,6.74798502586782e-06,0.49597874900791794,0.0091280420019757,0.012724291998893023,0.059644624998327345,0.0010158340155612677,0.004924875014694408,0.2452849999826867,,,
0.05,11,Non-random,0.37167495899484493,0.015069582994328812,0.14810424999450333,,,,,,,,,0.37167495899484493,0.3716722499812022,2.70901364274323e-06,0.5348487919836771,,,,,,,0.2787674169812817,0.09123758299392648,0.001667250005993992
