K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
6,1,CountSketch,0.0744663329999753,0.014941708000037579,0.1715828750000128,,,,,,,,,0.0744663329999753,0.07678637499975594,0.0,0.26099091600002566,,,,,,,,,,7.479199996396346e-05,0.0023524579999616435,0.0023524579999616435,0.002906499999994594,0.0020690000000058717,0.0008461670000201593,0.0009292919999666083,0.00014079199996785974,3.2957999962945905e-05,0.06508195799995065,,,,,,,
6,1,SIGN Bidirectional,0.12103154099997937,0.014941708000037579,0.19174016599998822,,,,,,,,,0.12103154099997937,0.12102071000009573,1.083099988363756e-05,0.32771341500000517,,,,,,,,,,,,,,,,,,,,0.0002249590000360513,0.012883958000031726,0.005345334000026014,0.0011071659999970507,0.00033941699996375974,3.229200001442223e-05,0.10108758400002671
6,2,Random Projection,0.08254091599997082,0.015456749999998465,0.17199608399999988,0.00022208300003967452,0.00343533400001661,0.0018426670000053491,0.0009200000000078035,0.001093792000006033,0.00014820799998460643,3.2250000003841706e-05,0.07484083399998553,0.08254091599997082,0.08253516800004945,5.747999921368319e-06,0.26999374999996917,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,Random Sampling,0.13639666699998543,0.015456749999998465,0.20446233299998084,,,,,,,,,0.13639666699998543,0.13638912399994751,7.5430000379128614e-06,0.35631574999996474,0.005203457999982675,0.00919991600000003,0.06275875000000042,0.000740042000018093,0.0028389159999733238,0.055648041999972975,,,,,,,,,,,,,,,,,,,,
6,2,Non-random,0.46664112500002375,0.015456749999998465,0.19100320800004056,,,,,,,,,0.46664112500002375,0.46663766599994005,3.4590000836942636e-06,0.6731010830000628,,,,,,,0.4254009999999653,0.04087008300001571,0.0003665829999590642,,,,,,,,,,,,,,,,,
6,2,CountSketch,0.08305804200000466,0.015456749999998465,0.17376712500004032,,,,,,,,,0.08305804200000466,0.08538716599997542,0.0,0.27228191700004345,,,,,,,,,,7.825000000138971e-05,0.0023665420000043014,0.0023665420000043014,0.003575957999998991,0.002715915999999652,0.0008267079999768612,0.0010202920000210725,0.0002364999999713291,6.179199999678531e-05,0.07213866600000074,,,,,,,
6,2,SIGN Bidirectional,0.12515341699997862,0.015456749999998465,0.179660374999969,,,,,,,,,0.12515341699997862,0.12514266900006987,1.0747999908744532e-05,0.3202705419999461,,,,,,,,,,,,,,,,,,,,0.00022458400002278722,0.013155125000025691,0.005362959000024148,0.0011767089999921154,0.0003386660000046504,3.3083999994687474e-05,0.10485154200000579
6,3,Random Projection,0.0712215839999999,0.014987958000006074,0.17731037499999047,0.00022587499995552207,0.003819958000008228,0.0022428749999789943,0.0008837500000140608,0.0010257090000322933,0.00028216700002303696,5.95000000203072e-05,0.0626702079999859,0.0712215839999999,0.07121004200001835,1.1541999981545814e-05,0.26351991699999644,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,Random Sampling,0.156937207999988,0.014987958000006074,0.210768250000001,,,,,,,,,0.156937207999988,0.15692708599999605,1.012199999195218e-05,0.38269341599999507,0.0052279590000239295,0.0092481669999529,0.07661145899999156,0.0007517920000168488,0.002844166999977915,0.0622435420000329,,,,,,,,,,,,,,,,,,,,
6,3,Non-random,0.48692712500002244,0.014987958000006074,0.18557820899997068,,,,,,,,,0.48692712500002244,0.4869233329999929,3.7920000295343925e-06,0.6874932919999992,,,,,,,0.4388099170000146,0.047746207999978196,0.00036720800000011877,,,,,,,,,,,,,,,,,
6,3,CountSketch,0.10303612500001691,0.014987958000006074,0.17135937500000864,,,,,,,,,0.10303612500001691,0.10539070600003697,0.0,0.2893834580000316,,,,,,,,,,8.224999999129068e-05,0.002392416000020603,0.002392416000020603,0.003026124999962576,0.0025561660000334996,0.0009694999999965148,0.001007458999993105,0.0003557910000040465,3.2707999991998804e-05,0.09257587500002273,,,,,,,
6,3,SIGN Bidirectional,0.12248024999996687,0.014987958000006074,0.17348970800003372,,,,,,,,,0.12248024999996687,0.12247045799995249,9.792000014385849e-06,0.31095791600000666,,,,,,,,,,,,,,,,,,,,0.00022000000001298758,0.0135512499999777,0.005051333000039904,0.0010760829999867383,0.00034570899998698223,3.325000000131695e-05,0.10219283299994686
6,4,Random Projection,0.07485179200000402,0.014920333999953073,0.17545545799998763,0.00022279099999877872,0.003793374999986554,0.0024245419999715523,0.0009374999999636202,0.0012661670000397862,0.0003456669999764017,3.179200001568461e-05,0.06582379200000332,0.07485179200000402,0.0748456259999557,6.166000048324349e-06,0.2652275839999447,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,Random Sampling,0.14664929200000643,0.014920333999953073,0.20813825000004726,,,,,,,,,0.14664929200000643,0.1466419989999963,7.293000010122341e-06,0.36970787600000676,0.005205625000030523,0.00912979100002076,0.07077599999996664,0.0007558749999816428,0.002829333000022416,0.05794537499997432,,,,,,,,,,,,,,,,,,,,
6,4,Non-random,0.48564650000002985,0.014920333999953073,0.2271699170000261,,,,,,,,,0.48564650000002985,0.4856422080000584,4.291999971428595e-06,0.727736751000009,,,,,,,0.4385790410000254,0.046696832999998605,0.0003663340000343851,,,,,,,,,,,,,,,,,
6,4,CountSketch,0.11366683399995736,0.014920333999953073,0.17671849999999267,,,,,,,,,0.11366683399995736,0.11628658299997596,0.0,0.3053056679999031,,,,,,,,,,0.00011845899996387743,0.0026749580000000606,0.0026749580000000606,0.002970749999974487,0.002276083000026574,0.0008414579999680427,0.001300917000037316,0.00028008300000692543,3.7792000000536063e-05,0.10311112499999808,,,,,,,
6,4,SIGN Bidirectional,0.1278486670000234,0.014920333999953073,0.17791808300000866,,,,,,,,,0.1278486670000234,0.12783758199987005,1.1085000153343572e-05,0.32068708399998513,,,,,,,,,,,,,,,,,,,,0.00022224999997888517,0.012970208000012917,0.005236125000010361,0.0009900409999659132,0.00034983299997293216,3.2957999962945905e-05,0.1080361669999661
6,5,Random Projection,0.0850537080000322,0.015070790999970995,0.17549083400001564,0.0002261249999833126,0.003814957999964008,0.0024134160000244265,0.0010816670000508566,0.0012367500000323162,0.00021270799999228984,3.5499999967214535e-05,0.07602537499997197,0.0850537080000322,0.0850464989999864,7.209000045804714e-06,0.27561533300001884,,,,,,,,,,,,,,,,,,,,,,,,,,
