rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
2.0,Random sampling,1,220260428,5000,3,3,12440,0.3178,0.28059813997375854,0.23965684378003982,0.4465684168972075,0.02913450007326901,0.23859900003299117,0.018054457963444293,3,0.0006,7.464,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0024690829450264573,0.014044750016182661,42229,29501,0.7,55559,0.016553500085137784,6.487499922513962e-05,0.22197704191785306,1.0721564401020491,0.8749371502905201,0.7142983339726925,2.88e-06,3.2e-07,sparse,3.7720060000000046,0.8320197080029175,7.730878829956055,290.21875,294.140625,3.921875
2.0,Random sampling,2,220260429,5000,3,3,12673,0.3774,0.22929242474028116,0.2181826886711426,0.4092384170508012,0.028242000029422343,0.20647845894563943,0.020929249934852123,2,0.0004,7.6038,21.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0029996249359101057,0.01091049995739013,42936,30082,0.7,56663,0.013980375020764768,6.862508598715067e-05,0.19242462504189461,1.0769409859121135,0.8754361666151866,0.6439540422288701,2.88e-06,3.2e-07,sparse,3.4120479999999986,0.7680524160386994,7.867032051086426,294.140625,295.3125,1.171875
2.0,Random sampling,3,220260430,5000,3,3,12673,0.2556,0.38282288124076547,0.32754563024683403,0.40526420902460814,0.029247500002384186,0.16014829196501523,0.024561083992011845,1,0.0002,7.6038,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0023581250570714474,0.011240290943533182,42937,29962,0.7,56460,0.01361829205416143,0.00013470801059156656,0.1463884589029476,1.0735028875765438,0.8720175699609116,0.5946531679946929,2.88e-06,3.2e-07,sparse,3.2070839999999947,0.7441738749621436,7.856361389160156,295.3125,296.40625,1.09375
2.0,Random sampling,4,220260431,5000,3,3,12698,0.4822,0.13678282447318282,0.13303195235268378,0.4266447079135105,0.029759834054857492,0.36209116701502353,0.016416915925219655,4,0.0008,7.6188,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.002481500036083162,0.011274917051196098,43014,29994,0.7,56523,0.013769209035672247,0.00012000009883195162,0.34819779195822775,1.0720561752095217,0.87722874238416,0.8184915430611,2.88e-06,3.2e-07,sparse,4.191324000000009,0.9375377079704776,7.868253707885742,296.40625,296.828125,0.421875
2.0,Random sampling,5,220260432,5000,3,3,12696,0.2262,0.4364731137343977,0.37264369281424087,0.4264479579869658,0.028837166959419847,0.12326037499587983,0.02162412495817989,4,0.0008,7.6176,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0022813749965280294,0.01452162500936538,43006,30118,0.7,56700,0.016814999980852008,7.149996235966682e-05,0.10637037502601743,1.078985762727711,0.8736600392644097,0.5785419999156147,2.88e-06,3.2e-07,sparse,2.8658670000000086,0.7251229579560459,7.874921798706055,296.828125,297.859375,1.03125
2.0,Random sampling,6,220260433,5000,3,3,12708,0.4312,0.21444683431566275,0.19024169278352948,0.41082991706207395,0.02781016705557704,0.2873323750682175,0.01661066699307412,5,0.001,7.6248,21.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0024105419870465994,0.01358887495007366,43043,30034,0.7,56566,0.01601200003642589,0.00016499997582286596,0.2711500839795917,1.0728403692438562,0.8684027426791948,0.7259671681094915,2.88e-06,3.2e-07,sparse,3.784803000000011,0.841157708899118,7.876713752746582,297.859375,298.515625,0.65625
2.0,Random sampling,7,220260434,5000,3,3,12690,0.2492,0.3921748578678482,0.3332393624595478,0.41565074992831796,0.02830904198344797,0.16553600004408509,0.028923542005941272,1,0.0002,7.614,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0022350000217556953,0.015727124991826713,42993,30009,0.7,56548,0.0179723339388147,7.062510121613741e-05,0.14748937508556992,1.071667016350184,0.8650491610448519,0.6094921260373667,2.88e-06,3.2e-07,sparse,3.2352089999999976,0.7763618329772726,7.8690338134765625,298.515625,298.515625,0.0
2.0,Random sampling,8,220260435,5000,3,3,12538,0.637,0.003548297304386807,0.011647714532849298,0.42175995896104723,0.028068792074918747,0.24430200003553182,0.020289374981075525,4,0.0008,7.5228,21.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.002498666988685727,0.008120042039081454,42527,29569,0.7,55719,0.01064504194073379,0.00016179203521460295,0.23348916706163436,1.0681117734795673,0.8914749595219641,0.6941247520735487,2.88e-06,3.2e-07,sparse,3.429296999999991,0.8157948750304058,7.776524543762207,298.515625,298.609375,0.09375
2.0,Random sampling,9,220260436,5000,3,3,12507,0.4886,0.1213643187844061,0.11819383216811116,0.4073097090004012,0.0287699579494074,0.21338133397512138,0.025185875012539327,3,0.0006,7.5042,18.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0024986660573631525,0.02061133401002735,42429,29718,0.7,55935,0.02312366699334234,7.17920484021306e-05,0.19018254207912832,1.0788261898261928,0.8783952482656358,0.6494576680706814,2.88e-06,3.2e-07,sparse,3.252681999999993,0.8078995839459822,7.7708635330200195,298.609375,298.734375,0.125
2.0,Random sampling,10,220260437,5000,3,3,12588,0.2206,0.4477591169868869,0.3817006376742649,0.4316042499849573,0.028880333993583918,0.14904450008179992,0.01866416702978313,1,0.0002,7.5528,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.002655083080753684,0.012910124962218106,42671,29781,0.7,56085,0.015606916975229979,7.212499622255564e-05,0.1333618329372257,1.0745810258453523,0.8729693655663469,0.6095254588872194,2.88e-06,3.2e-07,sparse,2.8302500000000066,0.7433317500399426,7.809882164001465,298.734375,298.734375,0.0
