n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,0.1414213562373095,19,Random Sampling,9.010579539587203,0.27,0.010278799764505991,0.02251879987306893,0.0004718999844044447,0.0013419000897556543,,,,,,,,,0.02251879987306893,0.02251650020480156,2.2996682673692703e-06,0.024332599947229028,0.00019509997218847275,0.00026739994063973427,0.0019021001644432545,3.3800024539232254e-05,5.139992572367191e-05,0.020066700177267194,,,
200,0.1414213562373095,19,Non-random,8.69502193691191,0.14,0.011815402477040882,0.02581010013818741,0.0004718999844044447,0.0018940998706966639,,,,,,,,,0.02581010013818741,0.025808299891650677,1.80024653673172e-06,0.028176099993288517,,,,,,,0.004648800007998943,0.02113919984549284,2.0300038158893585e-05
200,0.1414213562373095,20,Random Projection,7.234702744084162,0.38,0.015339551799197465,0.022297800052911043,0.00046140002086758614,0.001462999964132905,2.1899817511439323e-05,0.00015510013327002525,6.0999998822808266e-05,3.809994086623192e-05,3.539980389177799e-05,4.760012961924076e-05,4.200031980872154e-06,0.02193159982562065,0.022297800052911043,0.022294899681583047,2.900371327996254e-06,0.024222200037911534,,,,,,,,,
200,0.1414213562373095,20,Random Sampling,8.798427664369896,0.41000000000000003,0.008201732782263327,0.024185500107705593,0.00046140002086758614,0.0016388001386076212,,,,,,,,,0.024185500107705593,0.024182199966162443,3.300141543149948e-06,0.0262857002671808,0.00022080005146563053,0.00031809997744858265,0.0025679999962449074,3.4899916499853134e-05,5.539995618164539e-05,0.020985000068321824,,,
200,0.1414213562373095,20,Non-random,8.449850097946038,0.24,0.008019435798352015,0.02527780015952885,0.00046140002086758614,0.0017806999385356903,,,,,,,,,0.02527780015952885,0.025276399916037917,1.400243490934372e-06,0.027519900118932128,,,,,,,0.004382400074973702,0.020874499808996916,1.950003206729889e-05
400,0.1,1,Random Projection,7.341483178050585,0.305,0.01182180383165278,0.03052109992131591,0.002303200075402856,0.01637780014425516,4.100007936358452e-05,0.0005764998495578766,0.00011150003410875797,0.00010549998842179775,0.00027030007913708687,7.349997758865356e-05,9.00006853044033e-06,0.029329999815672636,0.03052109992131591,0.030517299892380834,3.8000289350748062e-06,0.049202100140973926,,,,,,,,,
400,0.1,1,Random Sampling,9.417454476430436,0.23500000000000001,0.006489619053041143,0.03730349987745285,0.002303200075402856,0.01594369998201728,,,,,,,,,0.03730349987745285,0.03730010008439422,3.3997930586338043e-06,0.055550399934872985,0.0005008999723941088,0.0015446001198142767,0.004289200063794851,0.00025889999233186245,0.0006579000037163496,0.030048599932342768,,,
400,0.1,1,Non-random,10.47805387642055,0.065,0.0029606534566724296,0.11272249999456108,0.002303200075402856,0.017231000121682882,,,,,,,,,0.11272249999456108,0.11271960008889437,2.8999056667089462e-06,0.13225670019164681,,,,,,,0.0852632001042366,0.027226599864661694,0.00022980011999607086
400,0.1,2,Random Projection,8.12970765162103,0.335,0.01080243456967915,0.0477314000017941,0.003034299938008189,0.017244999995455146,8.759996853768826e-05,0.0005544000305235386,0.00020579993724822998,0.00010489998385310173,0.0063322000205516815,0.00012470013462007046,1.019984483718872e-05,0.040305000031366944,0.0477314000017941,0.047724799951538444,6.600050255656242e-06,0.06801069993525743,,,,,,,,,
400,0.1,2,Random Sampling,9.467370308313,0.195,0.007748848949947748,0.0613988998811692,0.003034299938008189,0.015397700015455484,,,,,,,,,0.0613988998811692,0.06139350007288158,5.3998082876205444e-06,0.07983089983463287,0.0009312001056969166,0.0018936002161353827,0.004483899800106883,0.0003215000033378601,0.0008701998740434647,0.05289310007356107,,,
400,0.1,2,Non-random,10.59395368685782,0.11499999999999999,0.0030363231227683862,0.11435499996878207,0.003034299938008189,0.017152300104498863,,,,,,,,,0.11435499996878207,0.11435249960049987,2.500368282198906e-06,0.13454160001128912,,,,,,,0.08616369985975325,0.02797249983996153,0.00021629990078508854
400,0.1,3,Random Projection,8.037796710314833,0.45,0.011511116008660324,0.03184389998205006,0.0019909001421183348,0.016133900033310056,4.119984805583954e-05,0.000435100169852376,0.00011279992759227753,0.00011200015433132648,0.00023070001043379307,6.900005973875523e-05,7.00005330145359e-06,0.03083189995959401,0.03184389998205006,0.03183970018289983,4.1997991502285e-06,0.04996870015747845,,,,,,,,,
400,0.1,3,Random Sampling,9.906676091457545,0.19,0.004814916612246006,0.035794799914583564,0.0019909001421183348,0.01680279988795519,,,,,,,,,0.035794799914583564,0.03579069976694882,4.100147634744644e-06,0.05458849994465709,0.0006232999730855227,0.0016509001143276691,0.0038107000291347504,0.0002541998401284218,0.0006521998438984156,0.02879939996637404,,,
400,0.1,3,Non-random,10.514203648883944,0.095,0.0026166995397764597,0.11849409993737936,0.0019909001421183348,0.016553299967199564,,,,,,,,,0.11849409993737936,0.11849249992519617,1.600012183189392e-06,0.13703830004669726,,,,,,,0.09225829993374646,0.026028099935501814,0.00020610005594789982
