alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.1,18,Random Projection,0.04216062500000817,0.014835374999989881,0.17147808299998246,0.000182166000001871,0.0037299580000080823,0.0019617919999745936,0.0009254170000190243,0.0009379159999980402,0.0002959999999916363,1.925000000824184e-05,0.03409962499998187,0.04216062500000817,0.04215212399998336,8.501000024807581e-06,0.2284740829999805,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,18,Random Sampling,0.08887133299998595,0.014835374999989881,0.20302191700000094,,,,,,,,,0.08887133299998595,0.08886462499995673,6.708000029220784e-06,0.3067286249999768,0.005273375000001579,0.009197291999981871,0.03747375000000375,0.0006200830000011592,0.0027471249999848624,0.03355299999998351,,,,,,,,,,,,,,,,,,,,
0.1,18,Non-random,0.4540806249999889,0.014835374999989881,0.23000112500000114,,,,,,,,,0.4540806249999889,0.4540769169999521,3.708000036795056e-06,0.6989171249999799,,,,,,,0.42560379199997556,0.0281082500000025,0.00036487499997406303,,,,,,,,,,,,,,,,,
0.1,18,CountSketch,0.04220399999999813,0.014835374999989881,0.1701498749999928,,,,,,,,,0.04220399999999813,0.04449608299995589,0.0,0.2271892499999808,,,,,,,,,,7.608399999980975e-05,0.0023242079999761245,0.0023242079999761245,0.0025169159999904878,0.001527874999993628,0.0007457920000035756,0.0008381250000013551,0.00018654199999446064,3.5625000009531504e-05,0.03392070800001079,,,,,,,
0.1,18,SIGN Bidirectional,0.06056383300000334,0.014835374999989881,0.17292312500001117,,,,,,,,,0.06056383300000334,0.060556042000058596,7.790999944745636e-06,0.2483223330000044,,,,,,,,,,,,,,,,,,,,0.00018837500002177876,0.009598624999995309,0.004653375000003734,0.0007807500000183154,0.0002786670000034519,1.900000000887303e-05,0.045037250000007134
0.1,19,Random Projection,0.040164457999992464,0.015314291000009916,0.17445054199998822,0.00018616700000961828,0.0036268329999984417,0.0021445419999963633,0.0009179589999916971,0.0010478339999906439,0.00031962499997462146,2.091599998266247e-05,0.03189141699999709,0.040164457999992464,0.04015529299994114,9.165000051325478e-06,0.2299292909999906,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,19,Random Sampling,0.09309670799999026,0.015314291000009916,0.2097572080000134,,,,,,,,,0.09309670799999026,0.09308787600002688,8.831999963376802e-06,0.3181682070000136,0.005629292000008945,0.009334749999993619,0.0379949169999918,0.0007532500000024811,0.0028398750000064865,0.03653579200002355,,,,,,,,,,,,,,,,,,,,
0.1,19,Non-random,0.46972750000000474,0.015314291000009916,0.22352195799999208,,,,,,,,,0.46972750000000474,0.4697226240000134,4.875999991327262e-06,0.7085637490000067,,,,,,,0.4390819580000027,0.029977083000005678,0.0006635830000050191,,,,,,,,,,,,,,,,,
0.1,19,CountSketch,0.04660541599997714,0.015314291000009916,0.17043333299997698,,,,,,,,,0.04660541599997714,0.0489210000000071,0.0,0.23235303999996404,,,,,,,,,,7.89169999961814e-05,0.0023497079999970083,0.0023497079999970083,0.002518167000005178,0.0018791669999984606,0.0008017500000221389,0.0009748339999759992,0.00017504100000564904,3.387500001394983e-05,0.037759832999995524,,,,,,,
0.1,19,SIGN Bidirectional,0.05516545800000472,0.015314291000009916,0.17486074999999346,,,,,,,,,0.05516545800000472,0.05515616600001749,9.291999987226518e-06,0.2453404990000081,,,,,,,,,,,,,,,,,,,,0.00018725000001040826,0.00974841699999729,0.00457633300001703,0.0009536249999939628,0.0002952920000041104,2.020799999513656e-05,0.039375040999999555
