rep,method_i,method_j,ari
17,Random Sampling (p=0.7),Non-random,0.7538501327610514
17,Random Sampling (p=0.8),Non-random,0.7810407860316861
18,Random Projection,CountSketch,0.8364455061582412
18,Random Projection,SIGN Bidirectional,0.8328290422020458
18,Random Projection,Random Sampling (p=0.7),0.768340672651594
18,Random Projection,Random Sampling (p=0.8),0.8558769400499625
18,Random Projection,Non-random,0.8240462699271455
18,CountSketch,SIGN Bidirectional,0.7970670491067805
18,CountSketch,Random Sampling (p=0.7),0.7690551189599304
18,CountSketch,Random Sampling (p=0.8),0.8133599526666816
18,CountSketch,Non-random,0.7877144938435751
18,SIGN Bidirectional,Random Sampling (p=0.7),0.7857618697446759
18,SIGN Bidirectional,Random Sampling (p=0.8),0.8271614356750056
18,SIGN Bidirectional,Non-random,0.8186810163015111
18,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8029622250587839
18,Random Sampling (p=0.7),Non-random,0.7865909697225371
18,Random Sampling (p=0.8),Non-random,0.8472122968726103
19,Random Projection,CountSketch,0.7236506670298737
19,Random Projection,SIGN Bidirectional,0.7578200907529447
19,Random Projection,Random Sampling (p=0.7),0.6754603379718027
19,Random Projection,Random Sampling (p=0.8),0.7621889929518526
19,Random Projection,Non-random,0.7352695475080395
19,CountSketch,SIGN Bidirectional,0.7450619663727055
19,CountSketch,Random Sampling (p=0.7),0.7201497501991747
19,CountSketch,Random Sampling (p=0.8),0.7284443716401451
19,CountSketch,Non-random,0.7697189761680159
19,SIGN Bidirectional,Random Sampling (p=0.7),0.7359326231618486
19,SIGN Bidirectional,Random Sampling (p=0.8),0.729398780616979
19,SIGN Bidirectional,Non-random,0.8061401218092634
19,Random Sampling (p=0.7),Random Sampling (p=0.8),0.6838576858007351
19,Random Sampling (p=0.7),Non-random,0.8071822954638926
19,Random Sampling (p=0.8),Non-random,0.7230380857499357
20,Random Projection,CountSketch,0.8134782699604823
20,Random Projection,SIGN Bidirectional,0.8193533513021528
20,Random Projection,Random Sampling (p=0.7),0.7898486889091048
20,Random Projection,Random Sampling (p=0.8),0.779947296108536
20,Random Projection,Non-random,0.767926348436888
20,CountSketch,SIGN Bidirectional,0.8112814518358196
20,CountSketch,Random Sampling (p=0.7),0.7549159261791024
20,CountSketch,Random Sampling (p=0.8),0.7438293480108358
20,CountSketch,Non-random,0.7448352111156424
20,SIGN Bidirectional,Random Sampling (p=0.7),0.7427346487784219
20,SIGN Bidirectional,Random Sampling (p=0.8),0.7329164825420895
20,SIGN Bidirectional,Non-random,0.7713259368411259
20,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7863497326649789
20,Random Sampling (p=0.7),Non-random,0.67024332544347
20,Random Sampling (p=0.8),Non-random,0.7167891475929248
