n,rho_n,rep,seed,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
10000,2.0,6,2000026260433,3,3,25247,0.1012,0.7193718063601084,0.6380042472202759,0.9670003339415416,0.06889487500302494,0.13862745894584805,0.052256082999520004,6,0.0006,7.5741,20.0,161292,0.014781542005948722,0.0001065409742295742,0.12373520794790238,1.1745184998726472,7.2e-07,8e-08,sparse,3.083506,1.3474039159482345,13.914189338684082,303.828125,308.0625,4.234375
10000,2.0,7,2000026260434,3,3,25075,0.1004,0.7213408114716938,0.6409145546334957,0.8273067919071764,0.05245141696650535,0.14744604099541903,0.03699020901694894,8,0.0008,7.5225,20.0,160270,0.01266004191711545,8.299993351101875e-05,0.1347000419627875,1.0272012926870957,7.2e-07,8e-08,sparse,3.0762510000000134,1.1716538749169558,13.827936172485352,308.0625,311.40625,3.34375
10000,2.0,8,2000026260435,3,3,25173,0.1013,0.719130454218185,0.6376853120974674,0.8993624160066247,0.05389341700356454,0.1388602500082925,0.035232124966569245,1,0.0001,7.5519,19.0,160817,0.012994750053621829,8.324999362230301e-05,0.12577858299482614,1.0921124160522595,7.2e-07,8e-08,sparse,3.356096000000008,1.225691833999008,13.875030517578125,311.40625,311.78125,0.375
10000,2.0,9,2000026260436,3,3,24961,0.106,0.707181558955708,0.62620007543986,0.8398509999969974,0.05601195897907019,0.12254983407910913,0.03335641708690673,7,0.0007,7.4883,22.0,159597,0.01326679193880409,7.991702295839787e-05,0.10919975000433624,1.0184094179421663,7.2e-07,8e-08,sparse,3.045540000000017,1.1313210409134626,13.77308177947998,311.78125,311.78125,0.0
10000,2.0,10,2000026260437,3,3,25109,0.101,0.719913557467387,0.6384983087118363,0.8933499169070274,0.05514570896048099,0.10116483306046575,0.03466899995692074,8,0.0008,7.5327,19.0,160490,0.012718291021883488,7.870793342590332e-05,0.0883645829744637,1.0496572077972814,7.2e-07,8e-08,sparse,3.304415000000006,1.1733552910154685,13.849061965942383,311.78125,312.953125,1.171875
10000,4.0,1,4000032260428,3,3,50511,0.0177,0.947603464276428,0.9081172890404546,1.582188208005391,0.1039352910593152,0.09348374989349395,0.034110083943232894,0,0.0,15.1533,33.0,312460,0.010963584063574672,0.00021799991372972727,0.08227858296595514,1.7795836660079658,1.44e-06,1.6e-07,sparse,4.263205999999997,1.998422250035219,26.552453994750977,312.125,320.640625,8.515625
10000,4.0,2,4000032260429,3,3,50644,0.0161,0.9522674314528604,0.9152592246786388,1.8142392090521753,0.10485066706314683,0.0884881669189781,0.037066749995574355,0,0.0,15.1932,31.0,313192,0.011191166006028652,7.487495895475149e-05,0.07721870904788375,2.0075746261281893,1.44e-06,1.6e-07,sparse,4.378377,2.2302082079695538,26.61740779876709,318.640625,316.578125,-2.0625
10000,4.0,3,4000032260430,3,3,49914,0.0161,0.9522755451809187,0.9152157897616382,1.697327500092797,0.1030796249397099,0.0977600000333041,0.03407754108775407,0,0.0,14.9742,33.0,308852,0.011228332994505763,7.587508298456669e-05,0.08645250007975847,1.8981638331897557,1.44e-06,1.6e-07,sparse,4.339681999999982,2.1226680839899927,26.253726959228516,316.578125,327.6875,11.109375
10000,4.0,4,4000032260431,3,3,50034,0.0185,0.9452561357671052,0.9046836576909147,1.7009290830465034,0.10324720793869346,0.10362312500365078,0.03471179096959531,0,0.0,15.0102,30.0,309598,0.011084833997301757,7.329101208597422e-05,0.0924621659796685,1.907796581974253,1.44e-06,1.6e-07,sparse,4.449612999999999,2.1246459999820217,26.31506633758545,327.6875,333.640625,5.953125
10000,4.0,5,4000032260432,3,3,50530,0.0158,0.953151855306414,0.9164585482809922,1.8727974169887602,0.10552987502887845,0.1477134160231799,0.03586262499447912,0,0.0,15.159,33.0,312536,0.011107250000350177,8.133298251777887e-05,0.1365219580475241,2.1260378330480307,1.44e-06,1.6e-07,sparse,5.152806999999996,2.3320827080169693,26.558563232421875,333.640625,333.96875,0.328125
10000,4.0,6,4000032260433,3,3,50266,0.0147,0.9563836728435587,0.921176957898996,1.8618248330894858,0.10466149996500462,0.12430962501093745,0.04086683306377381,0,0.0,15.0798,32.0,310968,0.011050916975364089,8.570798672735691e-05,0.11316987499594688,2.0907928330125287,1.44e-06,1.6e-07,sparse,4.861469,2.294754832983017,26.430400848388672,333.96875,340.578125,6.609375
10000,4.0,7,4000032260434,3,3,50222,0.0185,0.9452610836284042,0.9046667977548728,1.8870703330030665,0.10209158295765519,0.08805004204623401,0.03862654103431851,0,0.0,15.0666,35.0,310690,0.011199124972335994,7.308297790586948e-05,0.07677491602953523,2.0772090399404988,1.44e-06,1.6e-07,sparse,4.656356999999986,2.2880751250777394,26.40946388244629,340.578125,343.109375,2.53125
10000,4.0,8,4000032260435,3,3,50397,0.0175,0.9481855590342061,0.9089189382069449,1.7840250410372391,0.10269587498623878,0.09338379197288305,0.041435791994445026,0,0.0,15.1191,31.0,311738,0.0111257090466097,8.470891043543816e-05,0.08217045897617936,1.9801017929567024,1.44e-06,1.6e-07,sparse,4.155265999999983,2.265486584044993,26.4922513961792,343.109375,338.0,-5.109375
10000,4.0,9,4000032260436,3,3,50523,0.0162,0.9519876378271998,0.9146361085740818,1.7320085830288008,0.1055009999545291,0.08564691699575633,0.0367910839850083,0,0.0,15.1569,30.0,312494,0.011322707985527813,7.608393207192421e-05,0.07424479094333947,1.923153165844269,1.44e-06,1.6e-07,sparse,4.392975000000007,2.1406552080297843,26.557783126831055,338.0,337.65625,-0.34375
10000,4.0,10,4000032260437,3,3,50059,0.0185,0.9452605968567469,0.9045694692485353,1.8300912500126287,0.10521199996583164,0.08478029095567763,0.035449375049211085,0,0.0,15.0177,32.0,309782,0.011312125017866492,8.412497118115425e-05,0.07338099996559322,2.0200804999331012,1.44e-06,1.6e-07,sparse,4.587143999999995,2.23100220807828,26.329447746276855,337.65625,339.4375,1.78125
10000,8.0,1,8000044260428,3,3,100620,0.0008,0.9976014705580698,0.9939176354193323,3.1382532080169767,0.2251662090420723,0.10327808395959437,0.0360858750063926,0,0.0,30.186,54.0,611016,0.017760624992661178,0.00025975005701184273,0.08524158399086446,3.4666813760995865,2.88e-06,3.2e-07,sparse,6.047824999999989,3.8859597499249503,51.54583168029785,337.4375,357.140625,19.703125
10000,8.0,2,8000044260429,3,3,100614,0.0005,0.9985003900630195,0.9959793735562577,3.3120861670468003,0.20954458299092948,0.11968316603451967,0.038268291973508894,0,0.0,30.1842,53.0,611056,0.016484249965287745,8.316605817526579e-05,0.10311124997679144,3.641309416037984,2.88e-06,3.2e-07,sparse,6.424030999999985,4.035268999985419,51.55349540710449,351.140625,382.3125,31.171875
10000,8.0,3,8000044260430,3,3,100840,0.0009,0.9973014854725843,0.9932620188453949,3.415992832975462,0.22882470802869648,0.0906162919709459,0.03870537492912263,0,0.0,30.252,54.0,612524,0.01757512497715652,9.970797691494226e-05,0.07293825002852827,3.7354306239867583,2.88e-06,3.2e-07,sparse,6.249687999999992,4.1542726249899715,51.66806125640869,377.3125,391.40625,14.09375
10000,8.0,4,8000044260431,3,3,100822,0.0006,0.9982007651620429,0.9952762652704208,3.34143195906654,0.22235583304427564,0.11312516697216779,0.042952624964527786,0,0.0,30.2466,54.0,612428,0.017244416987523437,0.00011929194442927837,0.09575820795726031,3.6769097090000287,2.88e-06,3.2e-07,sparse,6.2897020000000055,4.06955908308737,51.661556243896484,388.40625,392.4375,4.03125
10000,8.0,5,8000044260432,3,3,100446,0.0008,0.9976014260170755,0.9939961240137832,3.375014250050299,0.21035087492782623,0.10252658405806869,0.04009037499781698,0,0.0,30.1338,55.0,609902,0.01651487499475479,9.004189632833004e-05,0.08591825002804399,3.687888291897252,2.88e-06,3.2e-07,sparse,6.358005999999989,4.0597224169177935,51.45770454406738,390.4375,391.546875,1.109375
10000,8.0,6,8000044260433,3,3,100638,0.0002,0.9993999400000096,0.9983412203774658,3.2171889999881387,0.2115846659289673,0.08474562491755933,0.03973174991551787,0,0.0,30.1914,54.0,611244,0.016495749936439097,7.516599725931883e-05,0.06817020801827312,3.5135147898690775,2.88e-06,3.2e-07,sparse,6.104950000000002,3.8871127089951187,51.56088733673096,390.546875,392.921875,2.375
10000,8.0,7,8000044260434,3,3,100611,0.0008,0.9976013358550931,0.9939175938056963,3.650218541966751,0.21498050005175173,0.13447129202540964,0.037425915943458676,0,0.0,30.1833,53.0,611050,0.016308915917761624,8.074997458606958e-05,0.11807795788627118,3.999666665797122,2.88e-06,3.2e-07,sparse,7.092385000000007,4.374582041986287,51.55153179168701,392.921875,391.78125,-1.140625
10000,8.0,8,8000044260435,3,3,101014,0.0002,0.9994000300000015,0.9983412477285722,3.292663916014135,0.2091361250495538,0.091796041931957,0.03764420794323087,0,0.0,30.3042,52.0,613562,0.016378624946810305,9.083305485546589e-05,0.07532379101030529,3.5935932900756598,2.88e-06,3.2e-07,sparse,6.301969000000014,3.9740949999541044,51.75624465942383,391.78125,400.6875,8.90625
10000,8.0,9,8000044260436,3,3,101058,0.0005,0.9985003901530501,0.9959793733612438,3.688194999936968,0.21650541701819748,0.10218724992591888,0.04131687502376735,0,0.0,30.3174,53.0,613686,0.016225290950387716,7.904204539954662e-05,0.0858800410060212,4.006884790956974,2.88e-06,3.2e-07,sparse,6.843485999999984,4.398095624987036,51.768972396850586,400.6875,402.046875,1.359375
10000,8.0,10,8000044260437,3,3,100712,0.0004,0.9988001500540246,0.9968086813259602,3.271349083050154,0.21148837497457862,0.12146041705273092,0.04677095799706876,0,0.0,30.2136,53.0,611628,0.016964207985438406,9.545800276100636e-05,0.10439620795659721,3.6042933319695294,2.88e-06,3.2e-07,sparse,6.451589999999982,3.9989869170822203,51.597290992736816,402.046875,415.46875,13.421875
