alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.05,5,Random Projection,9.539953151861878,1.6432291666666663,0.0126705366329325,0.1709087080089375,0.0244893750059418,0.1637509160209447,7.570799789391458e-05,0.0037585830141324,0.0002427079889457,0.0036642500199377,0.0012238750059623,0.0001023329969029,2.587502240203321e-05,0.1618096670135855,0.1709087080089375,0.1709029990597628,5.70894917473197e-06,0.3591489990358241,,,,,,,,,,,,,,,,,,
0.05,5,Random Sampling,13.31191705915314,0.8932291666666667,0.0036760701263312,0.2479707919992506,0.0244893750059418,0.4402739580255002,,,,,,,,,0.2479707919992506,0.2479633760231081,7.415976142510772e-06,0.7127341250306927,0.0100104580051265,0.021897667000303,0.0610480000032112,0.0031468340021092,0.0033679170010145,0.1484925000113435,,,,,,,,,,,,
0.05,5,Non-random,12.303963475657756,0.4114583333333333,0.0009735877831687,0.4400439169839956,0.0244893750059418,0.2429046659963205,,,,,,,,,0.4400439169839956,0.4400418330333195,2.08395067602396e-06,0.707437957986258,,,,,,,0.3294662499974947,0.10986908301129,0.0007065000245347,,,,,,,,,
0.05,6,Random Projection,8.491224169068158,0.9635416666666669,0.0103614287809354,0.1837381669902242,0.019617209007265,0.3055733329965733,7.358400034718215e-05,0.0067692090233322,0.0002007500152103,0.0005306669918354,0.0036572079989127,0.0001300419971812,2.0584004232659936e-05,0.1723506250127684,0.1837381669902242,0.1837326690438203,5.4979464039206505e-06,0.5089287089940626,,,,,,,,,,,,,,,,,,
0.05,6,Random Sampling,13.078847029685337,0.7604166666666667,0.0035966886774726,0.2219972920138389,0.019617209007265,0.2938004999887198,,,,,,,,,0.2219972920138389,0.2219897489994764,7.543014362454414e-06,0.5354150010098238,0.0086059579916764,0.0180292080040089,0.0290860410023015,0.0010136670025531,0.0035344579955562,0.1617204170033801,,,,,,,,,,,,
0.05,6,Non-random,12.258044058716028,0.4166666666666666,0.0020493096168312,0.3321173329895828,0.019617209007265,0.1908127910282928,,,,,,,,,0.3321173329895828,0.332115542027168,1.790962414816022e-06,0.5425473330251407,,,,,,,0.2098675000015646,0.1212466249999124,0.0010014170256908,,,,,,,,,
0.05,7,Random Projection,8.784386759100897,1.1380208333333333,0.0124444778370846,0.2814398339833133,0.0321553749963641,0.1368068750016391,8.079200051724911e-05,0.0020443329995032,0.0001969580189324,0.0005653749976772,0.00273824998294,0.0001115000050049,2.995898830704391e-05,0.2756677090073935,0.2814398339833133,0.2814348760002758,4.95798303745687e-06,0.4504020839813165,,,,,,,,,,,,,,,,,,
0.05,7,Random Sampling,12.792662217824107,0.6822916666666667,0.0045250881933981,0.2968516249966342,0.0321553749963641,0.1935042499972041,,,,,,,,,0.2968516249966342,0.2968437480449211,7.876951713114977e-06,0.5225112499902025,0.0080493330024182,0.0151017910102382,0.0534895829914603,0.0033650410186965,0.0074396250129211,0.2093983750091865,,,,,,,,,,,,
0.05,7,Non-random,12.3301643643065,0.2942708333333333,0.0022863403944484,0.351699540973641,0.0321553749963641,0.2383001249982044,,,,,,,,,0.351699540973641,0.3516984170128125,1.123960828408599e-06,0.6221550409682095,,,,,,,0.2305508750141598,0.1204689999867696,0.0006785420118831,,,,,,,,,
0.05,8,Random Projection,8.754419346504577,1.1744791666666667,0.0106948572631523,0.291795999975875,0.0224269999889656,0.1342196250043343,6.874999962747097e-05,0.0031221249955706,0.0006783750141039,0.0020241249876562,0.0037877919967286,0.0001303329772781,2.170799416489899e-05,0.281955915997969,0.291795999975875,0.291789123963099,6.876012776046991e-06,0.4484426249691751,,,,,,,,,,,,,,,,,,
