experiment,rho_n,rep,seed,n,K,m,a_in,b_out,signal_gap,p_in,p_out,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,sampling_mode,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,method_wall_sec,algorithm_total_wall_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_lift_sec,rs_sample_matrix_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_lift_sec
rho_density_signal_control,4.0,3,2426050704,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24899,155064,0.004307333333333333,0.18924483295995742,0.028042249963618815,sparse,0,0.0,12.4495,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Random sampling,random_sampling,0.8243333333333334,-2.5474118063032394e-05,0.0013049354501028295,0.005161958048120141,0.03361654200125486,0.00014962500426918268,0.1860722079873085,0.21984074998181313,1.502166489728567,1.453141977948985,0.22131204209290445,0.4371254579164088,,,,,,,0.0030867919558659196,80532.0,24193.0,0.3,,,,,,,,,,,
rho_density_signal_control,4.0,3,2426050704,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24899,155064,0.004307333333333333,0.18924483295995742,0.028042249963618815,sparse,0,0.0,12.4495,27.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8173333333333334,0.0003006618700837267,0.001564466557786518,0.0031637499341741204,0.021275624982081354,0.0002371660666540265,0.4671789580024779,0.48869329201988876,0.7048773155620142,0.5255058625656216,0.48978408402763307,0.7059788319747895,,,,,,,,,,,0.0002583339810371399,36.0,142.0,190.0,0.0,0.0024477909319102764,0.0024786669528111815,0.012401834013871849,0.002809792058542371,0.0005454160273075104,0.00011016603093594313
rho_density_signal_control,4.0,4,2426050705,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24870,154880,0.004302222222222222,0.2105786669999361,0.027596166008152068,sparse,0,0.0,12.435,29.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Non-random eigsh,non_random,0.8163333333333334,5.978408455982186e-05,0.001237696302931774,0.005130541976541281,0.046608999953605235,7.474992889910936e-05,0.33672095800284296,0.38340620801318437,0.9999999999999994,0.6126016463877596,0.3845827910117805,0.6215795408934355,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,4,2426050705,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24870,154880,0.004302222222222222,0.2105786669999361,0.027596166008152068,sparse,0,0.0,12.435,29.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8195,-3.776730316536739e-05,0.0011135910275157379,0.0034134580055251718,0.027642417000606656,0.0004205419681966305,0.5014738340396434,0.529538584058173,0.6904103504410545,0.5261108026709853,0.5307300840504467,0.7677116260165349,0.0009328750893473625,0.003908750019036233,0.01835187489632517,0.002700124983675778,0.0009204589296132326,0.0006275420309975743,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,4,2426050705,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24870,154880,0.004302222222222222,0.2105786669999361,0.027596166008152068,sparse,0,0.0,12.435,29.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Random sampling,random_sampling,0.8213333333333334,0.0001239727464503362,0.001618479094644021,0.004435708047822118,0.030212624929845333,7.38329254090786e-05,0.1909915830474347,0.22128087491728365,1.5141428915645991,1.452928864134967,0.22317949996795505,0.45945287391077727,,,,,,,0.0032900420483201742,80440.0,24276.0,0.3,,,,,,,,,,,
rho_density_signal_control,4.0,4,2426050705,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24870,154880,0.004302222222222222,0.2105786669999361,0.027596166008152068,sparse,0,0.0,12.435,29.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8228333333333333,-0.00015178021686324005,0.0009738896377017265,0.003911832929588854,0.021470416919328272,0.00014812499284744263,0.490799417020753,0.512419749982655,0.7781369921887947,0.5247329715111616,0.5149582079611719,0.7505927919410169,,,,,,,,,,,0.0006651249714195728,36.0,148.0,204.0,0.0,0.0019152079476043582,0.0025082500651478767,0.013980208081193268,0.0017603329615667462,0.0004605420399457216,0.00010629207827150822
rho_density_signal_control,4.0,5,2426050706,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24842,154732,0.004298111111111111,0.1672560420120135,0.024710541940294206,sparse,0,0.0,12.421,31.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Non-random eigsh,non_random,0.8180000000000001,0.00039039193899173275,0.0017340400000988667,0.004205375094898045,0.04158283304423094,7.60830007493496e-05,0.35339941608253866,0.39506008301395923,1.0000000000000002,0.6142103443350817,0.39625891600735486,0.5870249160798267,,,,,,,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,5,2426050706,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24842,154732,0.004298111111111111,0.1672560420120135,0.024710541940294206,sparse,0,0.0,12.421,31.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Gaussian RP,gaussian_random_projection,0.8135,0.00028542027489351056,0.0015554725919152094,0.003071625018492341,0.01852225000038743,0.00022437504958361387,0.49779383302666247,0.5165415409719571,0.7072792323234521,0.5260187155152302,0.5180556249106303,0.7085070420289412,0.0012228749692440033,0.003974166000261903,0.01083441695664078,0.001899082912132144,0.00045437493827193975,7.983401883393526e-05,,,,,,,,,,,,,,,
rho_density_signal_control,4.0,5,2426050706,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24842,154732,0.004298111111111111,0.1672560420120135,0.024710541940294206,sparse,0,0.0,12.421,31.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,Random sampling,random_sampling,0.8178333333333333,0.00017009569030258155,0.001393888250209059,0.004819875000976026,0.02571529196575284,7.591699250042439e-05,0.1926775409374386,0.21847079205326736,1.5165137251636598,1.450154094834589,0.21953995910007507,0.4104353338479996,,,,,,,0.0024192919954657555,80366.0,24168.0,0.3,,,,,,,,,,,
rho_density_signal_control,4.0,5,2426050706,6000,6,3,14.0,6.0,8.0,1.5555555555555556e-06,6.666666666666667e-07,24842,154732,0.004298111111111111,0.1672560420120135,0.024710541940294206,sparse,0,0.0,12.421,31.0,24874.225333333336,4.145704222222222,12.437112666666668,0.02770835263696556,CountSketch RP,countsketch_random_projection,0.8203333333333334,5.08688630394029e-05,0.0012577503598341685,0.00340674992185086,0.02114941703621298,0.00028241705149412155,0.45658433402422816,0.4780176250496879,0.7605246678624913,0.5254947760611955,0.4790405839448795,0.669982752064243,,,,,,,,,,,0.00043124996591359377,36.0,144.0,186.0,0.0,0.0015494170365855098,0.00238941702991724,0.010536500019952655,0.0034294999204576015,0.0010809999657794833,0.0014574580127373338
