n,K,rho_n,rep,seed,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,zhou_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
5000,4,8.0,7,24260446,3,39802,0.0254,0.9334010209186352,0.8951950279392362,1.4051383330952376,0.08236766699701548,0.11535183305386454,0.020023792050778866,0,0.0,23.8812,45.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,242420,0.010174709022976458,7.37080117687583e-05,0.10509799991268665,1.602852417039685,1.152e-05,1.28e-06,sparse,3.952056000000013,1.7643904169090092,20.45476531982422,346.25,346.265625,0.015625
5000,4,8.0,8,24260447,3,40349,0.0276,0.9277153905660088,0.888633131045044,1.4655968339648098,0.08379179204348475,0.0960790409008041,0.019909624941647053,0,0.0,24.2094,43.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,245594,0.009921999997459352,7.43749551475048e-05,0.08607924997340888,1.6454642509343103,1.152e-05,1.28e-06,sparse,3.8094910000000084,1.801503875060007,20.71930980682373,346.265625,346.265625,0.0
5000,4,8.0,9,24260448,3,40054,0.028,0.9267046035818725,0.886717073639591,1.3458691670093685,0.08768870902713388,0.10123370902147144,0.018522583064623177,0,0.0,24.0324,42.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,243732,0.009989582933485508,7.49579630792141e-05,0.09116325003560632,1.5347856669686735,1.152e-05,1.28e-06,sparse,3.7329859999999826,1.704395083943382,20.573570251464844,346.265625,346.265625,0.0
5000,4,8.0,10,24260449,3,39904,0.0258,0.932456202797565,0.8961854806484288,1.503800000064075,0.0828331250231713,0.13256766588892788,0.018386458046734333,0,0.0,23.9424,42.0,39952.0192,7.990403840000001,23.97121152,0.0623875075135075,242916,0.009550041984766722,6.391701754182577e-05,0.12294975004624575,1.7191968341358006,1.152e-05,1.28e-06,sparse,4.137591000000015,1.8704129590187222,20.496862411499023,346.265625,346.265625,0.0
5000,5,8.0,1,25260443,3,35160,0.1442,0.6717940450674803,0.6205711302711426,1.1629267079988495,0.07714750000741333,0.14550329104531556,0.01853887503966689,0,0.0,21.096,44.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,214860,0.014092208002693951,8.50829528644681e-05,0.13132245792075992,1.3855739568825811,1.152e-05,1.28e-06,sparse,3.7586969999999837,1.5363883749814704,18.19545269012451,346.265625,346.296875,0.03125
5000,5,8.0,2,25260444,3,35146,0.158,0.6439578228628056,0.5946857518717666,1.3044009159784764,0.07188375003170222,0.2234827090287581,0.01877283293288201,0,0.0,21.0876,41.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,214836,0.013725916971452534,8.658296428620815e-05,0.20966670801863074,1.599763873964548,1.152e-05,1.28e-06,sparse,4.4616399999999885,1.7467414590064436,18.191540718078613,346.296875,346.3125,0.015625
5000,5,8.0,3,25260445,3,34920,0.1636,0.632704996890157,0.5834198857637096,1.3248833749676123,0.07542166695930064,0.173939291969873,0.017833041958510876,0,0.0,20.952,39.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,213386,0.014221000019460917,8.362496737390757e-05,0.15963079209905118,1.574240459012799,1.152e-05,1.28e-06,sparse,4.175515999999988,1.718716041999869,18.075316429138184,346.3125,346.328125,0.015625
5000,5,8.0,4,25260446,3,34995,0.165,0.6301113022713779,0.5812311563350908,1.230727875023149,0.07300966593902558,0.16165091597940773,0.02092604199424386,0,0.0,20.997,39.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,213904,0.014236207935027778,8.129200432449579e-05,0.14732966700103134,1.4653847079025581,1.152e-05,1.28e-06,sparse,4.005367999999976,1.605744499946013,18.113394737243652,346.328125,346.34375,0.015625
5000,5,8.0,5,25260447,3,35147,0.1484,0.6631682733831197,0.6127286203103665,1.287057250039652,0.07262162503320724,0.22029729199130088,0.01788454200141132,0,0.0,21.0882,42.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,214836,0.013263375032693148,7.470906712114811e-05,0.20695575000718236,1.5799727091798559,1.152e-05,1.28e-06,sparse,4.636835999999988,1.7127693339716643,18.190333366394043,346.34375,346.359375,0.015625
5000,5,8.0,6,25260448,3,35027,0.1506,0.6591326642989678,0.6094021782311833,1.1950903750257567,0.07856441591866314,0.14932033407967538,0.016952125006355345,0,0.0,21.0162,38.0,35158.419200000004,7.03168384,21.095051520000002,0.03990401921920999,213974,0.014751999988220632,9.158405009657145e-05,0.13447262498084456,1.4229709999635816,1.152e-05,1.28e-06,sparse,3.8709739999999897,1.567432582960464,18.123077392578125,346.359375,348.375,2.015625
