n,rep,seed,K,m_values,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_laplacian_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,hypergraph_degree_mean,hypergraph_degree_max,zhou_laplacian_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,algorithm_total_wall_sec,p_in_m2,p_out_m2,num_edges_m2,sampling_m2,p_in_m3,p_out_m3,num_edges_m3,sampling_m3,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
3000,1,3020269426,3,"2,3",18754,0.004666666666666667,0.9860387546389364,0.9712026404991929,0.9101479000019026,0.06078030000207946,0.046711899994988926,0.020836900002905168,0,13.749333333333333,33.0,55314,0.010806600002979394,7.94000006862916e-05,0.03582099999766797,1.0176352000053157,0.008,0.001,15014,sparse,4e-06,4.4444444444444444e-07,3740,sparse,1.734375,1.1191123999960837,5.675195693969727,212.92578125,210.1953125,-2.73046875
3000,2,3020269427,3,"2,3",18626,0.009,0.9731706660210415,0.9479541291493156,0.9456894000031753,0.06072180000046501,0.042693099996540695,0.02010790000349516,0,13.655333333333333,29.0,54918,0.01082759999553673,7.630000618519261e-05,0.03178469999693334,1.0490998000022955,0.008,0.001,14912,sparse,4e-06,4.4444444444444444e-07,3714,sparse,1.765625,1.1426834000012605,5.644163131713867,210.1953125,210.1640625,-0.03125
3000,3,3020269428,3,"2,3",18905,0.007666666666666666,0.9771533820409413,0.9565491968985967,0.9582684999986668,0.05995270000130404,0.043508299997483846,0.017569600000570063,0,13.858666666666666,27.0,55702,0.010228500002995133,7.159999950090423e-05,0.033203799997863825,1.0617251000003307,0.008,0.001,15139,sparse,4e-06,4.4444444444444444e-07,3766,sparse,1.703125,1.1559188999963226,5.722438812255859,210.1640625,210.53125,0.3671875
3000,4,3020269429,3,"2,3",19162,0.0036666666666666666,0.989020212516613,0.9762938878386467,0.953158699994674,0.06057410000357777,0.04370399999606889,0.017692499997792765,0,14.068333333333333,30.0,56668,0.011063700003433041,7.609999738633633e-05,0.03255899999930989,1.057431599998381,0.008,0.001,15281,sparse,4e-06,4.4444444444444444e-07,3881,sparse,1.71875,1.1671258999995189,5.807906150817871,210.53125,210.15234375,-0.37890625
3000,5,3020269430,3,"2,3",18698,0.004666666666666667,0.9860407000155217,0.970363313689772,0.9424825999958557,0.05986539999867091,0.04421870000078343,0.020532499998807907,0,13.691333333333333,30.0,54950,0.010320800000044983,8.350000280188397e-05,0.03380969999852823,1.0465619999959017,0.008,0.001,15020,sparse,4e-06,4.4444444444444444e-07,3678,sparse,1.828125,1.1512590999991517,5.661458969116211,210.15234375,210.35546875,0.203125
3000,6,3020269431,3,"2,3",18646,0.004666666666666667,0.9860492033523928,0.971123833026163,0.9296685000008438,0.05918240000028163,0.05452550000336487,0.02225200000248151,0,13.699,38.0,55354,0.01091469999664696,9.519999730400741e-05,0.043510600000445265,1.0433713999955216,0.008,0.001,14841,sparse,4e-06,4.4444444444444444e-07,3805,sparse,1.796875,1.1594813999981852,5.66018009185791,210.35546875,210.55859375,0.203125
3000,7,3020269432,3,"2,3",18687,0.01,0.970220219711872,0.9433808337474094,0.9756468999985373,0.06475460000365274,0.06269349999638507,0.030359199998201802,0,13.732333333333333,27.0,55502,0.010715099997469224,0.0001236000025528483,0.05184890000236919,1.1030891000045813,0.008,0.001,14864,sparse,4e-06,4.4444444444444444e-07,3823,sparse,1.859375,1.218153000001621,5.672677040100098,210.55859375,210.4296875,-0.12890625
3000,8,3020269433,3,"2,3",18827,0.007,0.9791095928226698,0.9590306709453055,1.1079925000012736,0.06494080000265967,0.05564339999546064,0.03207709999696817,0,13.822333333333333,34.0,55730,0.010976499994285405,0.00010670000483514741,0.04455440000310773,1.2285709000061615,0.008,0.001,15014,sparse,4e-06,4.4444444444444444e-07,3813,sparse,1.875,1.3667079000006197,5.7117919921875,210.4296875,210.4140625,-0.015625
3000,9,3020269434,3,"2,3",18727,0.008333333333333333,0.9751414719053453,0.95140708240805,0.9900768999941647,0.05956559999322053,0.04399779999948805,0.018156300000555348,0,13.738666666666667,28.0,55332,0.010040300003311131,8.38999985717237e-05,0.033868899998196866,1.093635599987465,0.008,0.001,14965,sparse,4e-06,4.4444444444444444e-07,3762,sparse,1.75,1.208667399994738,5.677750587463379,210.4140625,210.42578125,0.01171875
3000,10,3020269435,3,"2,3",18662,0.011333333333333334,0.9662606133251153,0.9375867989116305,0.959125800000038,0.059677000004739966,0.04406030000245664,0.017673399997875094,0,13.701666666666666,29.0,55276,0.010041000001365319,8.630000229459256e-05,0.0339280999978655,1.0628582000063034,0.008,0.001,14881,sparse,4e-06,4.4444444444444444e-07,3781,sparse,1.609375,1.1745181000005687,5.662029266357422,210.42578125,210.42578125,0.0
4000,1,4020272426,3,"2,3",25018,0.00575,0.982818884565167,0.9647750781426061,1.2601857999979984,0.07692820000374923,0.05625799999688752,0.03652249999868218,0,13.75325,27.0,73776,0.011677599999529775,7.680000271648169e-05,0.04449649999878602,1.39336490000278,0.006,0.00075,20041,sparse,2.25e-06,2.5e-07,4977,sparse,2.109375,1.5402504000012414,7.602338790893555,210.4921875,213.9921875,3.5
4000,2,4020272427,3,"2,3",25192,0.00625,0.981338458069617,0.9622236547817836,1.3038845999981277,0.07603819999349071,0.04894969999440946,0.027565600001253188,0,13.88325,32.0,74818,0.011792900004365947,7.709999772487208e-05,0.03707459999714047,1.4288673999908497,0.006,0.00075,20043,sparse,2.25e-06,2.5e-07,5149,sparse,2.09375,1.5555279000036535,7.673590660095215,213.9921875,214.04296875,0.05078125
4000,3,4020272428,3,"2,3",25062,0.006,0.9820737232417888,0.9629438886282703,1.2523137999960454,0.07394109999586362,0.05147909999504918,0.025001100002555177,0,13.78125,28.0,73962,0.011844700005894993,7.749999349471182e-05,0.039552100002765656,1.3777291999940644,0.006,0.00075,20061,sparse,2.25e-06,2.5e-07,5001,sparse,2.234375,1.5322997999974177,7.622466087341309,214.04296875,213.578125,-0.46484375
4000,4,4020272429,3,"2,3",25018,0.00675,0.9798426084529881,0.9593701770471076,1.2444266000020434,0.07493679999606684,0.05130940000526607,0.025178500000038184,0,13.77025,28.0,74042,0.011819999999715947,8.040000102482736e-05,0.03940429999784101,1.370668099996692,0.006,0.00075,19973,sparse,2.25e-06,2.5e-07,5045,sparse,2.140625,1.4958867999957874,7.615965843200684,213.578125,213.91796875,0.33984375
