n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,8,Random Sampling,0.026936500100418925,0.0005963000003248453,0.0014672998804599047,,,,,,,,,0.026936500100418925,0.026932700304314494,3.7997961044311523e-06,0.029000099981203675,0.00021740002557635307,0.0003206001129001379,0.0029349999967962503,4.1400082409381866e-05,7.720012217760086e-05,0.02334109996445477,,,
200,8,Non-random,0.024469699943438172,0.0005963000003248453,0.002084400039166212,,,,,,,,,0.024469699943438172,0.024467600043863058,2.09989957511425e-06,0.02715039998292923,,,,,,,0.004412499954923987,0.02003290015272796,2.219993621110916e-05
200,9,Random Projection,0.020969700068235397,0.0005901001859456301,0.0015487000346183777,2.6900088414549828e-05,0.00022709998302161694,7.919990457594395e-05,5.3900061175227165e-05,4.029995761811733e-05,6.600003689527512e-05,6.400048732757568e-06,0.0204670000821352,0.020969700068235397,0.02096680016256869,2.8999056667089462e-06,0.023108500288799405,,,,,,,,,
200,9,Random Sampling,0.02463750005699694,0.0005901001859456301,0.0017040998209267855,,,,,,,,,0.02463750005699694,0.024634000146761537,3.4999102354049683e-06,0.026931700063869357,0.00022109993733465672,0.00030800001695752144,0.0026515000499784946,3.8400059565901756e-05,6.29001297056675e-05,0.021352099953219295,,,
200,9,Non-random,0.02574880002066493,0.0005901001859456301,0.0019128001295030117,,,,,,,,,0.02574880002066493,0.025747200241312385,1.5997793525457382e-06,0.028251700336113572,,,,,,,0.004515300039201975,0.021208100020885468,2.3800181224942207e-05
200,10,Random Projection,0.02104579983279109,0.0005967998877167702,0.0019966999534517527,2.7399975806474686e-05,0.0002445999998599291,7.760012522339821e-05,5.9099867939949036e-05,4.760012961924076e-05,6.690016016364098e-05,6.4999330788850784e-06,0.020513299852609634,0.02104579983279109,0.021043000044301152,2.7997884899377823e-06,0.023639299673959613,,,,,,,,,
200,10,Random Sampling,0.027393999975174665,0.0005967998877167702,0.001643899828195572,,,,,,,,,0.027393999975174665,0.02739039994776249,3.600027412176132e-06,0.029634699691087008,0.00021829991601407528,0.0003207998815923929,0.0033277999609708786,4.650000482797623e-05,8.690007962286472e-05,0.0233901001047343,,,
200,10,Non-random,0.026453000027686357,0.0005967998877167702,0.0021526999771595,,,,,,,,,0.026453000027686357,0.026451100129634142,1.8998980522155762e-06,0.029202499892562628,,,,,,,0.004555199993774295,0.021873700199648738,2.219993621110916e-05
200,11,Random Projection,0.02149850013665855,0.0005991000216454268,0.0017433001194149256,2.7999980375170708e-05,0.0002264000941067934,8.019991219043732e-05,5.7300087064504623e-05,4.779989831149578e-05,6.59001525491476e-05,6.600050255656242e-06,0.020983499940484762,0.02149850013665855,0.021495700115337968,2.800021320581436e-06,0.0238409002777189,,,,,,,,,
200,11,Random Sampling,0.02611340000294149,0.0005991000216454268,0.001447599846869707,,,,,,,,,0.02611340000294149,0.026110000209882855,3.3997930586338043e-06,0.028160099871456623,0.00023710005916655064,0.0002715999726206064,0.00240500015206635,3.5499921068549156e-05,5.9399986639618874e-05,0.02310140011832118,,,
200,11,Non-random,0.026033199857920408,0.0005991000216454268,0.0017482999246567488,,,,,,,,,0.026033199857920408,0.02603149996139109,1.6998965293169022e-06,0.028380599804222584,,,,,,,0.00407600007019937,0.021932499948889017,2.2999942302703857e-05
200,12,Random Projection,0.0217480999417603,0.0004662999417632818,0.0015400999691337347,2.3600179702043533e-05,0.00016789999790489674,6.16998877376318e-05,4.1999854147434235e-05,3.529991954565048e-05,5.070003680884838e-05,4.699919372797012e-06,0.021359399892389774,0.0217480999417603,0.021745299687609076,2.80025415122509e-06,0.023754499852657318,,,,,,,,,
200,12,Random Sampling,0.026291499845683575,0.0004662999417632818,0.001455900026485324,,,,,,,,,0.026291499845683575,0.026288500288501382,2.9995571821928024e-06,0.02821369981393218,0.00021970015950500965,0.00031960010528564453,0.0029003999661654234,4.91999089717865e-05,7.700012065470219e-05,0.022722600027918816,,,
200,12,Non-random,0.027000899892300367,0.0004662999417632818,0.0022187000140547752,,,,,,,,,0.027000899892300367,0.026998699875548482,2.200016751885414e-06,0.029685899848118424,,,,,,,0.004868699936196208,0.022104599978774786,2.5399960577487946e-05
200,13,Random Projection,0.025755099952220917,0.00048619997687637806,0.001921999966725707,2.3200176656246185e-05,0.00017010001465678215,6.639980711042881e-05,4.359986633062363e-05,3.8700178265571594e-05,5.170004442334175e-05,4.600035026669502e-06,0.025354200042784214,0.025755099952220917,0.025752500165253878,2.5997869670391083e-06,0.028163299895823002,,,,,,,,,
200,13,Random Sampling,0.029309700010344386,0.00048619997687637806,0.0017454999033361673,,,,,,,,,0.029309700010344386,0.02930640010163188,3.2999087125062943e-06,0.03154139989055693,0.00021900003775954247,0.00029250001534819603,0.0028973000589758158,3.6499928683042526e-05,6.059999577701092e-05,0.025800500065088272,,,
200,13,Non-random,0.026038800133392215,0.00048619997687637806,0.0017894001211971045,,,,,,,,,0.026038800133392215,0.026036999886855483,1.80024653673172e-06,0.028314400231465697,,,,,,,0.004728300031274557,0.0212850000243634,2.369983121752739e-05
200,14,Random Projection,0.02054430008865893,0.0005169999785721302,0.0016123000532388687,2.259993925690651e-05,0.00016940012574195862,6.38000201433897e-05,4.659988917410374e-05,4.179985262453556e-05,5.2900053560733795e-05,4.799803718924522e-06,0.020139999920502305,0.02054430008865893,0.020541899604722857,2.400483936071396e-06,0.022673600120469928,,,,,,,,,
200,14,Random Sampling,0.026049999985843897,0.0005169999785721302,0.0016489000990986824,,,,,,,,,0.026049999985843897,0.026046900544315577,3.0994415283203125e-06,0.02821590006351471,0.0002163001336157322,0.00030690012499690056,0.0035224000457674265,5.0800153985619545e-05,8.390005677938461e-05,0.021866600029170513,,,
200,14,Non-random,0.025125500047579408,0.0005169999785721302,0.0021611000411212444,,,,,,,,,0.025125500047579408,0.025123400148004293,2.09989957511425e-06,0.027803600067272782,,,,,,,0.004152399953454733,0.02094850013963878,2.2500054910779e-05
200,15,Random Projection,0.021508899983018637,0.0005904999561607838,0.001959800021722913,2.7899863198399544e-05,0.00022580008953809738,7.569999434053898e-05,5.320017226040363e-05,4.559988155961037e-05,6.580003537237644e-05,6.1998143792152405e-06,0.021005300106480718,0.021508899983018637,0.02150549995712936,3.400025889277458e-06,0.024059199960902333,,,,,,,,,
200,15,Random Sampling,0.02520029991865158,0.0005904999561607838,0.0017715999856591225,,,,,,,,,0.02520029991865158,0.0251972998958081,3.00002284348011e-06,0.027562399860471487,0.00022000004537403584,0.00031869998201727867,0.0026153000071644783,4.329998046159744e-05,7.870001718401909e-05,0.02192129986360669,,,
