rep,method,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
14,Random Sampling (p=0.7),0.30828178733822664,0.5249100415464752,0.07168582392899073,0.01047074999999964,0.28163029099999903,0.29211924999999894
14,Random Sampling (p=0.8),0.33919645405267856,0.5378575341414775,0.09286947718810529,0.010826000000001557,0.26717299999999966,0.2780077910000003
14,Non-random,0.362363254291351,0.5575521507303165,0.10745999935183774,0.0,0.26903620800000283,0.2690366250000018
15,Random Projection,0.31179715986669443,0.5433717113477567,0.10610465518206025,,,0.18296675000000207
15,Random Sampling (p=0.7),0.2878457611496415,0.5275078345978159,0.07794603196074473,0.010638416999999123,0.2780792080000012,0.2887255419999981
15,Random Sampling (p=0.8),0.3473202962690251,0.5415030734358348,0.08239669046846604,0.010771832999999731,0.2755439580000001,0.286324166
15,Non-random,0.3835752216392448,0.5699498497841758,0.0875267635661536,0.0,0.267662792000003,0.26766366700000077
16,Random Projection,0.3256983465962137,0.5468964528217287,0.09924464329014376,,,0.19499337499999925
16,Random Sampling (p=0.7),0.31344359208348205,0.5418820557299429,0.0882651697470517,0.01108970900000017,0.2724374989999987,0.28354124999999897
16,Random Sampling (p=0.8),0.30194197416668844,0.5426685212907699,0.0904681161537239,0.010753457999999938,0.26922579200000385,0.279987000000002
16,Non-random,0.34895182820425347,0.5645122919371437,0.0841983642528391,0.0,0.2643592919999982,0.26435979199999693
17,Random Projection,0.32492542919808,0.56051629108311,0.09835478113220202,,,0.18236900000000134
17,Random Sampling (p=0.7),0.30964984709592025,0.5352844241945748,0.09288317254984281,0.010427583000002016,0.2751664159999976,0.2856025409999994
17,Random Sampling (p=0.8),0.31016478761522365,0.5416884943197694,0.0778957593020844,0.010736249999997227,0.2837137080000005,0.29445987500000115
17,Non-random,0.3529730121383838,0.5727563286368448,0.09545586752979912,0.0,0.2651909169999982,0.26519183399999946
18,Random Projection,0.3304202030037774,0.5567191684144538,0.0860151837696099,,,0.2012217079999985
18,Random Sampling (p=0.7),0.31513170151661696,0.5211898953768227,0.0714391120954599,0.01054741600000142,0.2754348339999986,0.2859899999999982
18,Random Sampling (p=0.8),0.3624351040340724,0.5495302188827337,0.08006649578233334,0.010720459000001625,0.28347349999999594,0.294205250000001
18,Non-random,0.33579108340124864,0.5668941133453985,0.0924381925754875,0.0,0.2622752919999982,0.2622757500000006
19,Random Projection,0.3067964052566516,0.5456168973789564,0.11288912663755127,,,0.1902186669999999
19,Random Sampling (p=0.7),0.30334036532408215,0.5182948828349844,0.0682884162659341,0.01044145799999896,0.2839303340000008,0.294378499999997
19,Random Sampling (p=0.8),0.31682327620960843,0.5406043123356835,0.08774243575583834,0.010736042000001333,0.27746254199999854,0.28820483300000177
19,Non-random,0.3427676125346804,0.5620827621436983,0.08669142997243715,0.0,0.2736673339999989,0.2736682090000002
20,Random Projection,0.3180333752958675,0.5511369221059458,0.0893929756609903,,,0.18406358400000045
20,Random Sampling (p=0.7),0.3114590489610287,0.5374930357214892,0.08064092211051083,0.01188120800000192,0.27397341700000055,0.2858614579999994
20,Random Sampling (p=0.8),0.3314336940484306,0.5513675552847982,0.07801772510344657,0.010753333000000254,0.27015300000000053,0.28091516699999985
20,Non-random,0.35247317956241925,0.5589490321106888,0.09591668416311332,0.0,0.27084016699999935,0.27084058399999833
