n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,17,Non-random,9.449067512281154,0.5716870194482135,0.015976331360946727,0.03297080006450415,0.0007442999631166458,0.0031214000191539526,,,,,,,,,0.03297080006450415,0.03296849993057549,2.300133928656578e-06,0.036836500046774745,,,,,,,0.005457799881696701,0.02747349999845028,3.720005042850971e-05
200,18,Random Projection,7.938498836437187,0.8102668475802803,0.03345756286259585,0.03253010008484125,0.0010631000623106956,0.002046199981123209,3.3800024539232254e-05,0.0002818000502884388,0.00011209980584681034,7.54001084715128e-05,5.540018901228905e-05,8.639995940029621e-05,7.90017656981945e-06,0.031873099971562624,0.03253010008484125,0.03252590028569102,4.1997991502285e-06,0.035639400128275156,,,,,,,,,
200,18,Random Sampling,10.311662605114089,0.705789235639982,0.01400376160974695,0.036665699910372496,0.0010631000623106956,0.0026996000669896603,,,,,,,,,0.036665699910372496,0.03666070057079196,4.999339580535889e-06,0.04042840003967285,0.00029080011881887913,0.00035170000046491623,0.003992700017988682,5.4800184443593025e-05,0.00010080006904900074,0.03186990018002689,,,
200,18,Non-random,9.380489952228334,0.34509271822704657,0.01396449704142011,0.03640379989519715,0.0010631000623106956,0.0032915999181568623,,,,,,,,,0.03640379989519715,0.03640139987692237,2.400018274784088e-06,0.04075849987566471,,,,,,,0.005896699847653508,0.030477099819108844,2.7600210160017014e-05
200,19,Random Projection,8.242868242498337,0.7042062415196744,0.012507009533028163,0.030820799991488457,0.001234699971973896,0.0017359999474138021,3.529991954565048e-05,0.00024310010485351086,0.00011079991236329079,6.240000948309898e-05,5.719996988773346e-05,7.940013892948627e-05,6.9998204708099365e-06,0.030221000080928206,0.030820799991488457,0.030816199956461787,4.600035026669502e-06,0.033791499910876155,,,,,,,,,
200,19,Random Sampling,10.514688643285588,1.0047489823609226,0.013921821124954326,0.03305070009082556,0.001234699971973896,0.0017351999413222075,,,,,,,,,0.03305070009082556,0.03304689982905984,3.80026176571846e-06,0.03602060000412166,0.0002639999147504568,0.0003309999592602253,0.0035323998890817165,4.6900007873773575e-05,8.510006591677666e-05,0.02878749999217689,,,
200,19,Non-random,9.406347412349279,0.5097241067390321,0.006396130072561124,0.03761329990811646,0.001234699971973896,0.003038099966943264,,,,,,,,,0.03761329990811646,0.03761120024137199,2.0996667444705963e-06,0.04188609984703362,,,,,,,0.008217500057071447,0.029364100191742182,2.95999925583601e-05
200,20,Random Projection,8.129609787809578,0.8417005879692446,0.02616735268141604,0.034587600035592914,0.0007029001135379076,0.0029599000699818134,3.2499898225069046e-05,0.0002452000044286251,9.80000477284193e-05,6.769993342459202e-05,4.559988155961037e-05,7.979990914463997e-05,7.699942216277122e-06,0.034007699927315116,0.034587600035592914,0.03458419954404235,3.400491550564766e-06,0.038250400219112635,,,,,,,,,
200,20,Random Sampling,10.674182158502791,0.9597467209407509,0.021787041054769057,0.036925400141626596,0.0007029001135379076,0.00262110005132854,,,,,,,,,0.036925400141626596,0.03692089975811541,4.500383511185646e-06,0.040249400306493044,0.0003054998815059662,0.00043010013177990913,0.0037875999696552753,7.229996845126152e-05,0.00011209980584681034,0.03221330000087619,,,
200,20,Non-random,9.485343636643499,0.6166892808683853,0.032474567314044134,0.03549540019594133,0.0007029001135379076,0.002398099983111024,,,,,,,,,0.03549540019594133,0.0354935999494046,1.80024653673172e-06,0.03859640029259026,,,,,,,0.004926800029352307,0.030540499836206436,2.6300083845853806e-05
400,1,Random Projection,10.030683430041817,0.1801144652676467,0.022273290496340553,0.03674399992451072,0.0041940000373870134,0.019229099852964282,5.539995618164539e-05,0.0005914000794291496,0.00013269996270537376,0.00014070002362132072,0.00042860000394284725,0.00010499986819922924,1.4299992471933365e-05,0.03527059988118708,0.03674399992451072,0.03673869976773858,5.300156772136688e-06,0.06016709981486201,,,,,,,,,
400,1,Random Sampling,13.114396889221547,0.345135226125014,0.014335667103718058,0.044241500087082386,0.0041940000373870134,0.021340700099244714,,,,,,,,,0.044241500087082386,0.04423759994097054,3.90014611184597e-06,0.06977620022371411,0.0006663999520242214,0.0020967000164091587,0.003663100069388747,0.00047239987179636955,0.0010828000959008932,0.03625619993545115,,,
400,1,Non-random,13.356129705406635,0.12759510717091235,0.010759634662508372,0.28526520007289946,0.0041940000373870134,0.02530430001206696,,,,,,,,,0.28526520007289946,0.2852618000470102,3.400025889277458e-06,0.31476350012235343,,,,,,,0.2225465001538396,0.06230730004608631,0.00040799984708428383
400,2,Random Projection,10.25041487990158,0.3003029962967119,0.024255994377632456,0.07235340005718172,0.003665899857878685,0.023648499976843596,8.330005221068859e-05,0.0014263999182730913,0.00020699994638562202,0.004008099902421236,0.0005000000819563866,0.00013329996727406979,1.2499978765845299e-05,0.06597550003789365,0.07235340005718172,0.07234609988518059,7.300172001123428e-06,0.099667799891904,,,,,,,,,
400,2,Random Sampling,12.685756041861659,0.32241050387161935,0.005539069029608157,0.05393610009923577,0.003665899857878685,0.02134689991362393,,,,,,,,,0.05393610009923577,0.05392950004898012,6.600050255656242e-06,0.07894889987073839,0.000698799965903163,0.0034419000148773193,0.004456300055608153,0.00042969989590346813,0.0012187000829726458,0.04368410003371537,,,
400,2,Non-random,13.239141351129549,0.11244529233531589,0.00795847750865053,0.14001970016397536,0.003665899857878685,0.020130799850448966,,,,,,,,,0.14001970016397536,0.1400178000330925,1.90013088285923e-06,0.163816399872303,,,,,,,0.11230789986439049,0.027325900038704276,0.00038400012999773026
400,3,Random Projection,10.035353383258428,0.3527101335428122,0.02289110052962051,0.03210029983893037,0.0035515001509338617,0.018680799985304475,5.319993942975998e-05,0.0004718999844044447,0.00010539987124502659,0.00011350004933774471,0.0003787998575717211,6.849993951618671e-05,7.899943739175797e-06,0.03089719987474382,0.03210029983893037,0.03209639945998788,3.900378942489624e-06,0.054332599975168705,,,,,,,,,
400,3,Random Sampling,13.216912943768454,0.3975984737964314,0.013870193509526757,0.04122030013240874,0.0035515001509338617,0.02040429995395243,,,,,,,,,0.04122030013240874,0.0412155999802053,4.700152203440666e-06,0.06517610023729503,0.0007722999434918165,0.0022263999562710524,0.003402499947696924,0.0004305001348257065,0.0011599999852478504,0.03322390001267195,,,
400,3,Non-random,13.4278831935663,0.1052070474694198,0.002901928792028413,0.27399399993009865,0.0035515001509338617,0.022726699942722917,,,,,,,,,0.27399399993009865,0.27399139991030097,2.600019797682762e-06,0.30027220002375543,,,,,,,0.23694590013474226,0.03665439994074404,0.0003910998348146677
