method,rep,r,ell,k,q,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,dataset,alpha,tau_label,tau_value,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
Gaussian RP,10,5,23,18,1,0.010867299992241897,0.3846330000087619,0.3955003000010038,0.12590076445162135,0.2600259162755223,0.3138325502676989,0.0016586999990977347,0.003012699991813861,0.004465099991648458,0.0010524999961489812,0.00012399999832268804,0.0002519999979995191,0.010564999975031242,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,10,5,23,18,1,0.016843999997945502,0.36629599999287166,0.38313999999081716,0.10974319470087521,0.24883825651872904,0.24935596717165184,,,,,,,0.01660039999114815,lastfm-asia,0.5,mean,7.2943336831059815,0.0004698999982792884,0.0038578999956371263,0.005859199998667464,0.004465999998501502,0.001601299998583272,0.0001109000004362315,0.00023520000104326755,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,1,10,28,18,1,0.011867199995322153,0.37169290000747424,0.3835601000027964,0.13527556711851466,0.27318173704363224,0.3170781770720615,0.0017385000101057813,0.0032352999987779185,0.004479900002479553,0.001560999997309409,0.00025240000104531646,0.00022579998767469078,0.01149289999739267,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,1,10,28,18,1,0.022727300005499274,0.3346012999973027,0.357328600002802,0.13163143076696965,0.27449608114056384,0.30593504029582774,,,,,,,0.02226329997938592,lastfm-asia,0.5,mean,7.2943336831059815,0.0004718999989563599,0.0043231000017840415,0.008177499999874271,0.005816499993670732,0.0028294999938225374,0.00032389999250881374,0.0003208999987691641,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
Gaussian RP,2,10,28,18,1,0.013496499988832511,0.3338454000040656,0.3473418999928981,0.1405939417781252,0.27271571340304723,0.3154462202466448,0.0018936999986181036,0.0042246000084560364,0.004818800007342361,0.0017244000046048313,0.00026450000586919487,0.0002530999918235466,0.013179100016714074,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,2,10,28,18,1,0.018979500004206784,0.3814317999931518,0.4004112999973586,0.11984356985242206,0.2623794248251618,0.3044489500876248,,,,,,,0.01867780000611674,lastfm-asia,0.5,mean,7.2943336831059815,0.00047569999878760427,0.004260000001522712,0.007136800006264821,0.004661400002078153,0.0016321000002790242,0.00025460000324528664,0.00025719999393913895,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
Gaussian RP,3,10,28,18,1,0.013950299995485693,0.3518138000072213,0.365764100002707,0.17467860579821182,0.30339268327201974,0.3371351875173272,0.0020167000038782135,0.003346800003782846,0.00593980000121519,0.0016203999985009432,0.00025859999004751444,0.0003001000004587695,0.013482399997883476,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,3,10,28,18,1,0.022929399987333454,0.35194150000461377,0.3748708999919472,0.14373066962849368,0.3089250522269582,0.3424471794222109,,,,,,,0.022479399980511516,lastfm-asia,0.5,mean,7.2943336831059815,0.000519900000654161,0.004631200004951097,0.009338899995782413,0.005638499991619028,0.001669299992499873,0.00027889999910257757,0.00040269999590236694,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
Gaussian RP,4,10,28,18,1,0.01417149999178946,0.3980143000080716,0.41218579999986105,0.14762286369167243,0.2826549862824825,0.33645890475734525,0.00226759999350179,0.0040859000000637025,0.005357900008675642,0.0014636000123573467,0.0002716000017244369,0.00037629999860655516,0.013822900014929473,lastfm-asia,0.5,mean,7.2943336831059815,,,,,,,,,,,
Degree-stratified RP,4,10,28,18,1,0.020588899991707876,0.35997970000607893,0.3805685999977868,0.10964208909372096,0.2576648093080715,0.2964934564960001,,,,,,,0.020170099989627488,lastfm-asia,0.5,mean,7.2943336831059815,0.00039030000334605575,0.004032600001664832,0.008429800000158139,0.005099499991047196,0.001636999993934296,0.0002432000037515536,0.00033769999572541565,8.0,2.0,5.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=4;[8,16):n=1265,ell=5;[16,32):n=576,ell=5;[32,64):n=212,ell=4;[64,128):n=46,ell=3;[128,256):n=6,ell=2"
