alpha,tau_label,tau_value,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
0.5,mean,7.2943336831059815,10,NMI_true,-0.002654063526594397,0.02152743050467565,0.00680757125657631,10
0.5,mean,7.2943336831059815,10,F1_macro_true,-0.020065553059774328,0.028449062261385303,0.008996383404191805,10
0.5,mean,7.2943336831059815,10,total_method_wall_sec,0.009662859998934436,0.02749326301082652,0.008694133142427033,10
0.5,mean,7.2943336831059815,20,ARI_true,-0.0034071473634607967,0.015776670191558765,0.004989021169861067,10
0.5,mean,7.2943336831059815,20,NMI_true,0.016619602755455785,0.014009741376513547,0.004430269217968539,10
0.5,mean,7.2943336831059815,20,F1_macro_true,-0.009816150644478983,0.03841035576171485,0.012146420994439066,10
0.5,mean,7.2943336831059815,20,total_method_wall_sec,0.014481140000862069,0.03132950255670902,0.009907258603926905,10
0.5,mean,7.2943336831059815,40,ARI_true,-0.011199299965208732,0.01104576923856718,0.003492978930249608,10
0.5,mean,7.2943336831059815,40,NMI_true,0.011088803420214205,0.015096321496837806,0.004773876022016986,10
0.5,mean,7.2943336831059815,40,F1_macro_true,-0.016558930002908045,0.02249100156693651,0.007112279180993534,10
0.5,mean,7.2943336831059815,40,total_method_wall_sec,0.009540899998683017,0.034148015509560266,0.010798550658496575,10
