alpha,tau_label,tau_value,r,method,runs,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
0.25,0,0.0,20,Degree-stratified RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.027663269999902696,0.004417798757520056,0.353733540000394,0.06686549834691186,0.3813968100002967,0.07038099654773236,0.14729146125612944,0.011283060233495495,0.31040058463647424,0.013087869434754892,0.3234242742444259,0.01751409496019672,,,,,,,,,,,,,0.027209909999510274,0.004332824148475138,0.0004969000030541793,7.273345659523693e-05,0.004685320000862703,0.00046587338525478034,0.012077599998156075,0.0030872231813274752,0.007334519999858458,0.0008562498736896043,0.001986839997698553,0.0003834132305041812,0.0003343000003951602,2.5638211669494955e-05,0.00029442999948514625,7.80051140721174e-05,8.0,0.0,2.0,0.0,7.0,0.0
0.25,0,0.0,20,Gaussian RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.018798230000538752,0.00317433495695392,0.3268555600036052,0.04089462564052203,0.345653790004144,0.041717342441038155,0.16352089805480985,0.011724774971228471,0.3160054418132711,0.013536722476250446,0.34554866981870064,0.014385671696694618,0.0027957399986917155,0.00024677294382322517,0.004875980001816061,0.0011111278069748838,0.007810290000634268,0.0011816764337398687,0.0021138099997187964,0.0008503254023485673,0.00034045000065816564,3.172448526344616e-05,0.00030752000311622395,4.8691999476234366e-05,0.01824379000463523,0.002985113775721971,,,,,,,,,,,,,,,,,,,,
0.25,0,0.0,40,Degree-stratified RP,10,58.0,0.0,18.0,0.0,1.0,0.0,0.04444962999841664,0.007720837044049401,0.3164403700007824,0.04238621002230076,0.3608899999991991,0.04814758956820014,0.18559162249140407,0.015165985262187742,0.3522200486489969,0.014230215319749996,0.3485079327709489,0.01318202431806056,,,,,,,,,,,,,0.043748189994948915,0.007536894967956414,0.0005062900017946959,0.0001756122706414888,0.005311299997265451,0.0012523068684029165,0.019040859998494853,0.0026352525793766905,0.013801720000628848,0.001985262988712802,0.003982890000042971,0.0019230027309756284,0.0007068599981721491,6.552504637081614e-05,0.00039826999854994936,0.00010267824302995043,8.0,0.0,4.0,0.0,10.0,0.0
0.25,0,0.0,40,Gaussian RP,10,58.0,0.0,18.0,0.0,1.0,0.0,0.029646120000688825,0.003574427242340064,0.3167541799994069,0.056136432557217716,0.34640030000009575,0.05853672222621005,0.19805382323017606,0.017081262799986327,0.35664918305694016,0.016173730256298098,0.3658507158326489,0.020096506738292667,0.004081900001619942,0.0003195020273809351,0.006637979997321963,0.001370207667280544,0.013880639999115374,0.0015306779470529016,0.0032930700021097437,0.0004345052967534696,0.0007020199991529807,5.103105247467863e-05,0.000372689998766873,7.028066943630423e-05,0.028968299998086876,0.003387327851717539,,,,,,,,,,,,,,,,,,,,
0.25,mean,7.2943336831059815,5,Degree-stratified RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.01541966000222601,0.0009117008931246032,0.3491604700029711,0.023931943226883152,0.3645801300051971,0.024064773961410286,0.11756405102470288,0.01253154706150977,0.2667841468652655,0.019080672980109434,0.2952859896644386,0.019828676484682294,,,,,,,,,,,,,0.015180830008466728,0.0008906106463357384,0.00047329000080935656,6.011508062766713e-05,0.003776829999696929,0.00031861330991209185,0.005875530002231244,0.0003747584112188362,0.003495070000644773,0.0002209911788565782,0.0012166000029537826,0.00014560225511741221,0.0001074200015864335,1.9115423982834504e-05,0.00023609000054420904,2.5047933006444855e-05,8.0,0.0,2.0,0.0,4.0,0.0
0.25,mean,7.2943336831059815,5,Gaussian RP,10,23.0,0.0,18.0,0.0,1.0,0.0,0.01035981000168249,0.0003907526515617025,0.3622377100007725,0.038950557246085246,0.372597520002455,0.03922660072582848,0.13034250078727616,0.011004019162231163,0.2842743882825206,0.014617884835164284,0.3082500758116141,0.014851529264593634,0.001616130000911653,8.076389359423993e-05,0.003050419999635778,0.00018852046953564877,0.0037953799997922032,0.0001469688793513852,0.001319290000537876,0.0001012905669248494,0.00010557000059634447,1.4300587419446685e-05,0.00024293000024044886,3.9879877994752825e-05,0.010129720001714304,0.0003775989287894653,,,,,,,,,,,,,,,,,,,,
0.25,mean,7.2943336831059815,10,Degree-stratified RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.024004669998248573,0.015270394689627148,0.3640386999992188,0.1630970822953191,0.38804336999746736,0.16404758478499826,0.13525986895761194,0.010693577038960705,0.29607658004523574,0.0121952012087512,0.3252924803430367,0.0203407730112426,,,,,,,,,,,,,0.023666250007227062,0.0151069458434949,0.0004657200013753027,7.617922791777561e-05,0.004907680001633707,0.002338796390588652,0.009683189998031593,0.007481511704668148,0.00632966000266606,0.00499167312158437,0.0017274800018640235,0.0004919794521646739,0.000273210002342239,2.9650536821666274e-05,0.0002793099993141368,6.464787879757503e-05,8.0,0.0,2.0,0.0,5.0,0.0
0.25,mean,7.2943336831059815,10,Gaussian RP,10,28.0,0.0,18.0,0.0,1.0,0.0,0.012315270000544842,0.0013740656351714107,0.3215324199976749,0.07721991882231648,0.33384768999821973,0.07836190701531662,0.14590373854086552,0.012151406269260827,0.3038256765895819,0.012960153032546115,0.33731171957788,0.02357753526357336,0.00195013999909861,0.00018151893864779844,0.0033409300027415155,0.0004739647184941317,0.004898230002436321,0.0007174859519186866,0.0012966900001629255,0.00024401163988931954,0.00027492999943206086,0.0001003514941454906,0.00025997999910032377,5.3942248287532854e-05,0.012020900002971758,0.001334062954917324,,,,,,,,,,,,,,,,,,,,
0.25,mean,7.2943336831059815,20,Degree-stratified RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.026821240001299883,0.00559458872172507,0.26870173999486724,0.018814091006669652,0.2955229799961671,0.018377870695991012,0.16986680665374157,0.01473745894712749,0.3339768269241571,0.018387370712415016,0.3472551830483321,0.014861864780047716,,,,,,,,,,,,,0.026383939996594562,0.005573870002261308,0.0004188800012343563,7.102368384703403e-05,0.004280960001051426,0.000590289391532387,0.011056760001520161,0.0020138630256626654,0.007818830000178422,0.00212540865231466,0.002167229999031406,0.001051017157759132,0.00033745999535312877,0.0001100636904245197,0.00030381999822566287,4.75367127572587e-05,8.0,0.0,2.0,0.0,7.0,0.0
0.25,mean,7.2943336831059815,20,Gaussian RP,10,38.0,0.0,18.0,0.0,1.0,0.0,0.016635129998030608,0.0007967874795515137,0.2504763399992953,0.02943777410991042,0.26711146999732593,0.02951683364188479,0.18081893480139377,0.01418240273886142,0.33957205721742156,0.01291456757371563,0.3530208440311196,0.02447904234144136,0.002499929998884909,0.00016342082217817507,0.004012390003481414,0.0006192787964855677,0.007186459997319617,0.0003640551903069503,0.0019019399987882935,0.0005175082896052816,0.0003352699990500696,3.95128664315769e-05,0.00028677000082097945,2.9823782235738947e-05,0.01622275999834528,0.0007825575237923489,,,,,,,,,,,,,,,,,,,,
