model,n,rep,method,error_P,error_Theta,error_B,time_sec
1,600,14,Random Sampling,12.36099532809967,0.005,0.006720162102771432,0.042550792000000115
1,600,14,Non-random,15.791573546500581,0.0,0.0072038523095984686,0.1675046249999994
1,600,15,Random Projection,10.061734605342036,0.0,0.003570251705873634,0.02199629200000075
1,600,15,Random Sampling,12.096568117399658,0.01,0.005627796476317587,0.04331724999999942
1,600,15,Non-random,15.24113795712247,0.0,0.004321145746836619,0.16915658399999955
1,600,16,Random Projection,11.970525007968956,0.0,0.005921839573129112,0.020795708999999718
1,600,16,Random Sampling,14.13062070815909,0.005,0.009616951980358335,0.04220399999999991
1,600,16,Non-random,16.330993408215253,0.0,0.005224806918451869,0.17219974999999899
1,600,17,Random Projection,10.16198535299221,0.0,0.0019216139198117849,0.017984958999999634
1,600,17,Random Sampling,11.942507040548929,0.005,0.0038021071513753,0.038103125000001015
1,600,17,Non-random,16.029631531217717,0.0,0.0017197768154619264,0.17416937499999996
1,600,18,Random Projection,11.68242392739776,0.0,0.002980388635054926,0.021354791999998568
1,600,18,Random Sampling,13.719382569484727,0.015,0.007178928830066961,0.04398233300000065
1,600,18,Non-random,15.997706541810498,0.0,0.0032927769312960375,0.17250191699999817
1,600,19,Random Projection,9.191356177603657,0.0,0.0028611980199523546,0.020426207999999946
1,600,19,Random Sampling,11.279553421352801,0.005,0.0033556640608981003,0.041718166999999085
1,600,19,Non-random,14.53912370586866,0.0,0.00265504601063149,0.17171333299999958
1,600,20,Random Projection,11.086519999088958,0.0,0.002855279262171717,0.018297457999999267
1,600,20,Random Sampling,11.140761924184847,0.0,0.005148488471189233,0.03514291700000172
1,600,20,Non-random,15.563939877533732,0.0,0.002617895349345256,0.17070695800000024
1,800,1,Random Projection,12.355075785082033,0.0,0.003474218551516195,0.021415999999998547
1,800,1,Random Sampling,13.25792313438118,0.0,0.006809897185695912,0.04293141599999828
1,800,1,Non-random,17.50333095639023,0.0,0.0033549867720726323,0.26198816700000194
1,800,2,Random Projection,11.477294202171805,0.0,0.0033846170493961325,0.020329832999998132
1,800,2,Random Sampling,14.255547554350116,0.003745318352059925,0.004374295468821843,0.045863874999998444
1,800,2,Non-random,18.475088779859494,0.0,0.0034719481844256994,0.2577735830000023
1,800,3,Random Projection,11.389875439417237,0.0,0.001243461026249948,0.020690292000001165
1,800,3,Random Sampling,13.345494240036205,0.0,0.0035666605928892925,0.04404591699999827
1,800,3,Non-random,18.023905129726593,0.0,0.001320927039580394,0.2638489170000007
1,800,4,Random Projection,10.136363336116064,0.0,0.005717766687867387,0.025866333999999824
1,800,4,Random Sampling,13.095148617118591,0.0,0.009513641302623499,0.049207542000001325
1,800,4,Non-random,17.426158908238126,0.0,0.005609964387445654,0.2609729999999999
1,800,5,Random Projection,11.174658965229552,0.0,0.0033065866410731948,0.026553500000002117
1,800,5,Random Sampling,13.441911907595147,0.0,0.004296108081557615,0.054360250000002
1,800,5,Non-random,18.234643181760774,0.0,0.003212054926040042,0.2780227910000015
1,800,6,Random Projection,11.105282132193949,0.0,0.003819457176501062,0.01951637500000203
1,800,6,Random Sampling,12.85328697480493,0.0,0.0018707558191918827,0.04305450000000022
1,800,6,Non-random,17.630846613069053,0.0,0.0037261128861094117,0.2616399999999999
1,800,7,Random Projection,11.391822581064995,0.0,0.003638311200340777,0.023472375000000767
1,800,7,Random Sampling,14.087411857670435,0.0,0.006513716286097065,0.04432641700000062
1,800,7,Non-random,18.227292264906836,0.0,0.003479992986558822,0.264811292000001
1,800,8,Random Projection,10.180691885498847,0.0,0.0038952223209152426,0.02528433300000188
1,800,8,Random Sampling,12.664944121545272,0.0,0.004984768711383203,0.04570804199999756
1,800,8,Non-random,17.610460561844572,0.0,0.0038112728068328827,0.27181612500000085
1,800,9,Random Projection,10.93614867823486,0.0,0.004320911010742057,0.022559540999999683
1,800,9,Random Sampling,13.70960605226263,0.0037593984962406013,0.006591374947055834,0.053956207999998895
1,800,9,Non-random,18.260362662966727,0.0,0.004097839497439637,0.2670242079999987
1,800,10,Random Projection,10.629470471722486,0.0,0.006318317752212588,0.021695375000000183
1,800,10,Random Sampling,13.450616242586907,0.0,0.007265462013961527,0.04321304200000142
1,800,10,Non-random,17.555900431421296,0.0,0.0061689019234308085,0.2673934580000008
