model,n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,1200,2,SIGN Bidirectional,0.036762250000009544,0.017953124999991132,0.23264762499999847,,,,,,,,,0.036762250000009544,0.03675233300003811,9.91699997143769e-06,0.28736299999999915,,,,,,,,,,,,,,,,,,,,0.000195708000006789,0.00970175000000495,0.004969167000012931,0.0009808750000104283,0.00012295799999151313,2.0000000006348273e-05,0.020761875000005148
2,1200,3,Random Projection,0.029154957999992348,0.01796516599998199,0.2225850410000021,0.00019654100000821018,0.004300792000009324,0.001473166000010906,0.0009497079999789548,0.0009117090000074768,0.00019329200000584024,3.583299999831979e-05,0.021082916000011664,0.029154957999992348,0.029143957000030696,1.1000999961652269e-05,0.26970516499997643,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1200,3,Random Sampling,0.07359237499997562,0.01796516599998199,0.2582377079999958,,,,,,,,,0.07359237499997562,0.0735855830000105,6.791999965116702e-06,0.3497952489999534,0.005652291000018295,0.009427499999986821,0.0288683340000091,0.0012024589999839463,0.002479958000009219,0.02595504100000312,,,,,,,,,,,,,,,,,,,,
2,1200,3,Non-random,0.4746810420000145,0.01796516599998199,0.23850233299998536,,,,,,,,,0.4746810420000145,0.47467704199999616,4.00000001832268e-06,0.7311485409999818,,,,,,,0.4539103339999997,0.020371374999996306,0.00039533300000016425,,,,,,,,,,,,,,,,,
2,1200,3,CountSketch,0.027736915999980738,0.01796516599998199,0.22768291699998144,,,,,,,,,0.027736915999980738,0.030490166000078034,0.0,0.2733849989999442,,,,,,,,,,0.00011958299998582334,0.002799625000022843,0.002799625000022843,0.0029838750000124037,0.001499167000019952,0.0008004160000041338,0.0008729580000021997,0.00012033299998392977,2.0292000016297607e-05,0.01847429200000761,,,,,,,
2,1200,3,SIGN Bidirectional,0.03887904100000128,0.01796516599998199,0.2234499999999855,,,,,,,,,0.03887904100000128,0.038867375999927845,1.1665000073435294e-05,0.28029420699996876,,,,,,,,,,,,,,,,,,,,0.00019874999998137355,0.009665249999983416,0.00567691699998818,0.001017999999987751,0.00022400000000288856,3.591699999105913e-05,0.022048541999993176
2,1200,4,Random Projection,0.027599833000010676,0.01838987499999689,0.2285290410000016,0.00019666700001153004,0.0036253339999916534,0.0014662920000034774,0.0007857500000056916,0.0008755829999813614,0.00020575000002054367,3.5874999980478606e-05,0.020399916999991774,0.027599833000010676,0.02759116799998651,8.665000024166147e-06,0.27451874900000917,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1200,4,Random Sampling,0.07248879200000147,0.01838987499999689,0.26696279199998685,,,,,,,,,0.07248879200000147,0.0724833749999334,5.417000068064226e-06,0.3578414589999852,0.005632666999986213,0.00941158300000211,0.029521999999985837,0.0010747499999865795,0.002485874999990756,0.024356499999981907,,,,,,,,,,,,,,,,,,,,
2,1200,4,Non-random,0.4615837499999884,0.01838987499999689,0.24814729199999874,,,,,,,,,0.4615837499999884,0.4615799579999873,3.792000001112683e-06,0.728120916999984,,,,,,,0.43869325000000003,0.022461499999991474,0.0004252079999957914,,,,,,,,,,,,,,,,,
2,1200,4,CountSketch,0.02983404199997608,0.01838987499999689,0.20302266600000962,,,,,,,,,0.02983404199997608,0.032355956999907676,0.0,0.2512465829999826,,,,,,,,,,8.724999997866689e-05,0.0025615409999772965,0.0025615409999772965,0.0030658750000043256,0.001691375000007156,0.000975083999975368,0.0010189999999852262,0.0002538749999985157,4.3624999989333446e-05,0.02009679100001449,,,,,,,
2,1200,4,SIGN Bidirectional,0.0362054169999908,0.01838987499999689,0.2047213749999912,,,,,,,,,0.0362054169999908,0.0361915419999832,1.3875000007601557e-05,0.2593166669999789,,,,,,,,,,,,,,,,,,,,0.0002745830000208116,0.01022783299998764,0.00453370799999675,0.0009336249999876145,0.00028216700002303696,3.858399998080131e-05,0.019901041999986546
2,1200,5,Random Projection,0.02923583300000132,0.018253874999999198,0.1966589999999826,0.00019991700000332457,0.0038534160000267548,0.002182874999988371,0.0009982089999880372,0.0010938750000093478,0.0003275839999901109,3.725000001963963e-05,0.02051933400002781,0.02923583300000132,0.029212460000053397,2.3372999947923745e-05,0.24414870799998312,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1200,5,Random Sampling,0.06552062500000488,0.018253874999999198,0.22860283399998593,,,,,,,,,0.06552062500000488,0.06551116700001103,9.457999993855992e-06,0.31237733399999,0.005704624999992802,0.00954095800000232,0.02441812500001106,0.0007251669999845944,0.002470375000001468,0.022651917000018784,,,,,,,,,,,,,,,,,,,,
2,1200,5,Non-random,0.4852059170000018,0.018253874999999198,0.24756570800002464,,,,,,,,,0.4852059170000018,0.48520012500000576,5.7919999960631685e-06,0.7510255000000257,,,,,,,0.46393374999999537,0.02054504200000906,0.0007213330000013229,,,,,,,,,,,,,,,,,
2,1200,5,CountSketch,0.030254500000012285,0.018253874999999198,0.2280189999999891,,,,,,,,,0.030254500000012285,0.032723874000026854,0.0,0.2765273750000006,,,,,,,,,,8.625000000961336e-05,0.002501541000015095,0.002501541000015095,0.002872625000009066,0.0015900839999858363,0.0007910829999957514,0.0013070409999897947,0.00019720800000300187,2.008399999908761e-05,0.020856417000004512,,,,,,,
2,1200,5,SIGN Bidirectional,0.06222208399998408,0.018253874999999198,0.21780849999998964,,,,,,,,,0.06222208399998408,0.062210456999963526,1.1627000020553169e-05,0.2982844589999729,,,,,,,,,,,,,,,,,,,,0.00019566699998563308,0.009187041000018326,0.0042450830000007045,0.0009262499999920237,0.00018812499999398824,3.412499998489693e-05,0.047434165999987954
2,1200,6,Random Projection,0.027027333999996017,0.018020375000020294,0.20660762500000374,0.00019733300001689713,0.003663417000012714,0.0016906669999912083,0.0008994170000278245,0.0013598749999914617,0.00026883300000690724,3.649999999311149e-05,0.018898541999988083,0.027027333999996017,0.027014584000028208,1.2749999967809345e-05,0.25165533400002005,,,,,,,,,,,,,,,,,,,,,,,,,,
