K,method,rep,seed,n,m,rho_n,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,zhou_theta_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rs_sample_matrix_wall_sec,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
4,Random sampling,6,20660433,5000,3,4.0,19941,0.4786,0.1639984464000195,0.15186506109819836,0.6350232920376584,0.042302582995034754,0.3968328341143206,0.015086708008311689,0,0.0,11.9646,27.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.0031617500353604555,0.020653040963225067,64646,45138,0.7,86806,0.023833165992982686,0.0001377500593662262,0.37285666610114276,1.064432805506497,0.778644701866159,1.0741534571861848,5.76e-06,6.4e-07,sparse,5.20257500000001,1.235354125034064,11.926715850830078,347.84375,347.984375,0.140625
4,Random sampling,7,20660434,5000,3,4.0,20138,0.3472,0.28846921363420547,0.2610570385185408,0.6385917089646682,0.047238417086191475,0.26699695899151266,0.022698250017128885,0,0.0,12.0828,28.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.0031295830849558115,0.01987249997910112,65229,45572,0.7,87635,0.02306095906533301,7.687497418373823e-05,0.24385408300440758,1.067163722199394,0.7785027291038439,0.952822043094784,5.76e-06,6.4e-07,sparse,4.443170999999992,1.1311975419521332,12.038816452026367,347.984375,347.984375,0.0
4,Random sampling,8,20660435,5000,3,4.0,19888,0.4578,0.18557936359477678,0.1726276474442205,0.6444500000216067,0.04331783298403025,0.3881532499799505,0.015420750016346574,0,0.0,11.9328,26.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.003174625104293227,0.022137708961963654,64467,45090,0.7,86689,0.025366791989654303,6.78749056532979e-05,0.3627147909719497,1.065571779083019,0.7780618142655747,1.0759172908728942,5.76e-06,6.4e-07,sparse,5.249381,1.2436713330680504,11.899551391601562,347.984375,348.046875,0.0625
4,Random sampling,9,20660436,5000,3,4.0,20237,0.3646,0.2657130961973561,0.24246375050828742,0.686335708014667,0.0441929999506101,0.2593211670173332,0.022981125046499074,0,0.0,12.1422,26.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.0032382089411839843,0.019699999946169555,65511,45891,0.7,88296,0.022949332953430712,7.229100447148085e-05,0.23629608401097357,1.06471779835425,0.7751124111407154,0.9898464159341529,5.76e-06,6.4e-07,sparse,4.39092500000001,1.177878167014569,12.098430633544922,348.046875,348.0625,0.015625
4,Random sampling,10,20660437,5000,3,4.0,20044,0.383,0.240560110228671,0.21878942668528237,0.6763552919728681,0.04296099999919534,0.30941383296158165,0.01562516705598682,0,0.0,12.0264,25.0,19976.0096,3.9952019200000004,11.98560576,0.0623875075135075,0.0032425420358777046,0.02348545892164111,64936,45355,0.7,87218,0.026739583001472056,6.558292079716921e-05,0.282605207990855,1.0653446066323868,0.7769854141462842,1.0287266658851877,5.76e-06,6.4e-07,sparse,4.717710999999994,1.1921882909955457,11.981880187988281,348.0625,348.0625,0.0
5,Random sampling,1,20760428,5000,3,4.0,17667,0.7482,0.006450546659378835,0.008394868209949675,0.5709856250323355,0.03795420902315527,0.4647370419697836,0.015462083043530583,0,0.0,10.6002,25.0,17579.209600000002,3.51584192,10.547525760000001,0.03990401921920999,0.0029803330544382334,0.025294624967500567,57856,40534,0.7,77570,0.02830674999859184,7.629196625202894e-05,0.4363503750646487,1.0687294744406215,0.7925642968393024,1.0736732510849833,5.76e-06,6.4e-07,sparse,5.5449760000000055,1.2225885830121115,10.712469100952148,348.0625,348.078125,0.015625
5,Random sampling,2,20760429,5000,3,4.0,17588,0.753,0.010317405727998335,0.014036392698052461,0.6055664999876171,0.03795291704591364,0.4691052919952199,0.019187624915502965,1,0.0002,10.5528,23.0,17579.209600000002,3.51584192,10.547525760000001,0.03990401921920999,0.0027734999312087893,0.02661399997305125,57615,40297,0.7,77087,0.02939870802219957,7.516704499721527e-05,0.4396277910564095,1.0696158896684336,0.793890897991268,1.112621083157137,5.76e-06,6.4e-07,sparse,5.600667999999985,1.2705886660842225,10.662997245788574,348.078125,348.078125,0.0
5,Random sampling,3,20760430,5000,3,4.0,17619,0.7708,0.0037618384858140444,0.00605542989939954,0.5963285410543904,0.04056591703556478,0.39636220899410546,0.01564324996434152,0,0.0,10.5714,23.0,17579.209600000002,3.51584192,10.547525760000001,0.03990401921920999,0.0032588340109214187,0.024621125077828765,57731,40518,0.7,77530,0.02796787500847131,0.00010375003330409527,0.36828458309173584,1.0685760679952176,0.7953539777182878,1.0332506662234664,5.76e-06,6.4e-07,sparse,4.927999,1.194066624972038,10.694995880126953,348.078125,348.078125,0.0
5,Random sampling,4,20760431,5000,3,4.0,17528,0.751,0.007776482486419344,0.010948522371367649,0.5890281660249457,0.039693707949481905,0.47804375004488975,0.015229875105433166,0,0.0,10.5168,24.0,17579.209600000002,3.51584192,10.547525760000001,0.03990401921920999,0.0028454590355977416,0.029905708972364664,57445,40426,0.7,77317,0.03279295901302248,8.03329749032855e-05,0.4451668330002576,1.0731813734344293,0.796428998054287,1.106761998962611,5.76e-06,6.4e-07,sparse,5.541050999999982,1.2625830000033602,10.646951675415039,348.078125,348.109375,0.03125
5,Random sampling,5,20760432,5000,3,4.0,17604,0.7664,0.007939397115668403,0.010741466527828798,0.5875306670786813,0.038538332912139595,0.42726658296305686,0.015200166963040829,0,0.0,10.5624,25.0,17579.209600000002,3.51584192,10.547525760000001,0.03990401921920999,0.002812708029523492,0.030399333918467164,57666,40422,0.7,77319,0.0332230000058189,0.00017075007781386375,0.3938692909432575,1.0709826983749577,0.797019280640533,1.0533320410177112,5.76e-06,6.4e-07,sparse,5.249604000000005,1.2020301669836044,10.677227020263672,348.109375,348.109375,0.0
