rep,step,method,sec,note
9,method_total,Non-random,0.7574900820036419,
9,pairwise_ari,,0.03398587499395944,
10,eigendecomp,Random Projection,0.23617745799128897,
10,rp_test_matrix,Random Projection,0.01685604199883528,
10,rp_power_matmul_1,Random Projection,0.02468941599363461,
10,rp_power_matmul_2,Random Projection,0.025465707993134856,
10,rp_power_matmul_3,Random Projection,0.024446458992315456,
10,rp_power_matmul_4,Random Projection,0.025695124990306795,
10,rp_power_matmul_5,Random Projection,0.024158792017260566,
10,rp_power_matmul_total,Random Projection,0.12445549998665228,
10,rp_qr,Random Projection,0.06591649999609217,
10,rp_A_times_Q,Random Projection,0.022356292000040412,
10,rp_Qt_times_AQ,Random Projection,0.0021776249923277646,
10,rp_symmetrize_small,Random Projection,5.2499992307275534e-05,
10,rp_small_eigh,Random Projection,6.787499296478927e-05,
10,rp_sort_eigpairs,Random Projection,1.4833000022917986e-05,
10,rp_back_projection,Random Projection,0.002876208018278703,
10,rp_eigendecomp_total,Random Projection,0.2347733749775216,
10,kmeans,Random Projection,0.3500134580244776,
10,method_total,Random Projection,0.5861909160157666,
10,sampling,Random Sampling,0.06099516697577201,
10,rs_sampling_mask,Random Sampling,0.0038856669852975756,
10,rs_sampling_select_edges,Random Sampling,0.005988458986394107,
10,rs_sampling_weights,Random Sampling,7.133299368433654e-05,
10,rs_sampling_stack_symmetry,Random Sampling,0.0020725830108858645,
10,rs_sampling_build_sparse,Random Sampling,0.018097624997608364,
10,rs_sampling_finalize_sparse,Random Sampling,0.029763750004349276,
10,rs_sampling_total,Random Sampling,0.059879416978219524,
10,eigendecomp,Random Sampling,0.13583912499598227,
10,rs_eig_eigsh_solver,Random Sampling,0.13533016701694578,
10,rs_eig_sort_eigpairs,Random Sampling,0.00046633300371468067,
10,rs_eig_eigendecomp_total,Random Sampling,0.13579650002066046,
10,kmeans,Random Sampling,0.6237549999787007,
10,method_total,Random Sampling,0.8205892919504549,
10,eigendecomp,Non-random,0.14869858298334293,
10,nr_eig_eigsh_solver,Non-random,0.14768833297421224,
10,nr_eig_sort_eigpairs,Non-random,0.0005207080102991313,
10,nr_eig_eigendecomp_total,Non-random,0.14820904098451138,
10,kmeans,Non-random,0.6084265410027001,
10,method_total,Non-random,0.757125123986043,
10,pairwise_ari,,0.09985104101360776,
11,eigendecomp,Random Projection,0.270294083020417,
11,rp_test_matrix,Random Projection,0.02615733299171552,
11,rp_power_matmul_1,Random Projection,0.03389954098383896,
11,rp_power_matmul_2,Random Projection,0.024650874984217808,
11,rp_power_matmul_3,Random Projection,0.025553374987794086,
11,rp_power_matmul_4,Random Projection,0.026917000010143965,
11,rp_power_matmul_5,Random Projection,0.02442645898554474,
11,rp_power_matmul_total,Random Projection,0.13544724995153956,
11,rp_qr,Random Projection,0.07752804100164212,
11,rp_A_times_Q,Random Projection,0.024927499995101243,
11,rp_Qt_times_AQ,Random Projection,0.0013259169936645776,
11,rp_symmetrize_small,Random Projection,1.287501072511077e-05,
11,rp_small_eigh,Random Projection,5.76250022277236e-05,
11,rp_sort_eigpairs,Random Projection,1.4958990504965186e-05,
11,rp_back_projection,Random Projection,0.003195124998455867,
11,rp_eigendecomp_total,Random Projection,0.2686666249355767,
11,kmeans,Random Projection,0.43343404098413885,
11,method_total,Random Projection,0.7037281240045559,
11,sampling,Random Sampling,0.06563658299273811,
11,rs_sampling_mask,Random Sampling,0.003796000004513189,
11,rs_sampling_select_edges,Random Sampling,0.006433167000068352,
11,rs_sampling_weights,Random Sampling,0.00022320798598229885,
11,rs_sampling_stack_symmetry,Random Sampling,0.0018042919982690364,
11,rs_sampling_build_sparse,Random Sampling,0.0188316669955384,
11,rs_sampling_finalize_sparse,Random Sampling,0.03278483299072832,
11,rs_sampling_total,Random Sampling,0.0638731669750996,
11,eigendecomp,Random Sampling,0.14104966699960642,
11,rs_eig_eigsh_solver,Random Sampling,0.14049879199592397,
11,rs_eig_sort_eigpairs,Random Sampling,0.0004977920034434646,
11,rs_eig_eigendecomp_total,Random Sampling,0.14099658399936743,
11,kmeans,Random Sampling,0.6285303340118844,
11,method_total,Random Sampling,0.8352165840042289,
11,eigendecomp,Non-random,0.14738099998794496,
11,nr_eig_eigsh_solver,Non-random,0.14680012498865835,
11,nr_eig_sort_eigpairs,Non-random,0.000510000012582168,
11,nr_eig_eigendecomp_total,Non-random,0.14731012500124052,
11,kmeans,Non-random,0.6313915830105543,
