rho_n,method,rep,seed,n,K,m,num_hyperedges_total,misclassification_rate,ARI,NMI,generation_wall_sec,hypergraph_laplacian_build_wall_sec,spectral_clustering_wall_sec,metric_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,p_in,p_out,sampling_mode,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb
1.0,Gaussian random projection,6,120260433,5000,3,3,6246,0.6188,0.005209501844275149,0.0051586412320316355,0.18139366600371432,0.014240959004382603,0.40993866699864157,0.018566083002951927,109,0.0218,3.7476,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0033235829905606806,0.01584554101282265,0.053525625000474975,0.009743625007104129,0.003552540991222486,eigsh,0.00033879200054798275,0.08698654199542943,0.0002850419987225905,0.32266345899552107,0.9958351805582234,0.8471718189073901,0.60556966799777,1.44e-06,1.6e-07,sparse,4.815503000000007,0.678326916997321,27.98612117767334,411.125,411.21875,0.09375
1.0,Gaussian random projection,7,120260434,5000,3,3,6359,0.6474,0.0013799001835694976,0.0013628154566297853,0.19320875000266824,0.015089541004272178,0.42491449999215547,0.02585991600062698,128,0.0256,3.8154,12.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.003328207996673882,0.01841391700145323,0.04790262499591336,0.009789707997697406,0.0014616670086979866,eigsh,0.001611082989256829,0.08344662499439437,0.00011262499901931733,0.3413502080074977,0.9971165125011188,0.8790161483811656,0.6332077490078518,1.44e-06,1.6e-07,sparse,4.732426000000004,0.7163385000021663,28.02504539489746,411.21875,411.28125,0.0625
1.0,Gaussian random projection,8,120260435,5000,3,3,6248,0.632,0.0034919272113602792,0.003911992545079273,0.18016445799730718,0.013928375003160909,0.4631429580040276,0.014383166999323294,103,0.0206,3.7488,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0033098749991040677,0.017467583005782217,0.04854504200920928,0.010500459000468254,0.0022025420039426535,eigsh,0.0011378750059520826,0.08462300000246614,0.0006093749980209395,0.37790362499072216,0.9951816094787842,0.8415663331873376,0.6572288329916773,1.44e-06,1.6e-07,sparse,4.970837999999986,0.7125859999941895,27.986483573913574,411.28125,411.40625,0.125
1.0,Gaussian random projection,9,120260436,5000,3,3,6141,0.5854,0.021149329863561328,0.019057591271288088,0.17095625000365544,0.013661292003234848,0.4458505420043366,0.01462833299592603,132,0.0264,3.6846,13.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.0033507500047562644,0.016262874996755272,0.05034804200113285,0.008797332993708551,0.0035066660057054833,eigsh,0.00022554199676960707,0.08299641699704807,0.00011216700659133494,0.36273712500405964,0.9959546780502887,0.8317549274603891,0.6304632510145893,1.44e-06,1.6e-07,sparse,5.296391999999997,0.6829687090066727,27.947354316711426,411.40625,412.75,1.34375
1.0,Gaussian random projection,10,120260437,5000,3,3,6189,0.6348,0.002222601030956814,0.002282804565149937,0.17184904099849518,0.014176999990013428,0.46310912500484847,0.014125041998340748,122,0.0244,3.7134,11.0,6288.9660736000005,1.2577932147200002,3.7733796441600003,0.11097779555911182,0.003256041993154213,0.01756058399041649,0.06137608300196007,0.00667416698706802,0.0036677910102298483,eigsh,0.0003684580005938187,0.09360550000565127,0.00013779100845567882,0.3693617909884779,0.994610817342023,0.8568095720354867,0.6491311229910934,1.44e-06,1.6e-07,sparse,5.39355900000001,0.706105999997817,27.964516639709473,412.75,412.8125,0.0625
2.0,Gaussian random projection,1,220260428,5000,3,3,12440,0.1648,0.5671539464951804,0.49032718993920144,0.33659962499223184,0.024538917001336813,0.3431262499943841,0.014023333002114668,3,0.0006,7.464,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0032609589979983866,0.025792250002268702,0.04040808300487697,0.005898165996768512,0.002875499994843267,eigsh,0.001261915997019969,0.08081766701070592,0.00021258299238979816,0.2620907079981407,0.9997345732451446,0.7248373989296567,0.7042594999948051,2.88e-06,3.2e-07,sparse,4.9225350000000105,0.7953963750042021,30.22103214263916,412.8125,420.640625,7.828125
2.0,Gaussian random projection,2,220260429,5000,3,3,12673,0.14,0.6239600733873196,0.5432086296602487,0.34612299999571405,0.026534666991210543,0.35517383299884386,0.017143332996056415,2,0.0004,7.6038,21.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.003700750006828457,0.029987791000166908,0.060025583996321075,0.009894167000311427,0.0032548329909332097,eigsh,0.0017128750041592866,0.10944754199590534,0.00045020898687653244,0.24526962499658111,0.9998086654136078,0.7263425533450298,0.7278250429662876,2.88e-06,3.2e-07,sparse,4.7660510000000045,0.8276753329992061,30.307108879089355,420.640625,420.734375,0.09375
2.0,Gaussian random projection,3,220260430,5000,3,3,12673,0.1386,0.6275596670742732,0.5471140966243687,0.33637112499854993,0.02503900000010617,0.3468477080023149,0.020232582988683134,1,0.0002,7.6038,19.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0033594999986235052,0.027904250004212372,0.05743008299032226,0.008961540996097028,0.0028011249960400164,eigsh,0.00041033400339074433,0.10189233400160447,0.0003798340039793402,0.2445689590094844,0.9997148645403943,0.7294662129883356,0.7082512520137243,2.88e-06,3.2e-07,sparse,4.67494099999999,0.8108348750101868,30.303650856018066,420.734375,421.375,0.640625
2.0,Gaussian random projection,4,220260431,5000,3,3,12698,0.1218,0.667878286002719,0.5860827065831518,0.33898100000806153,0.025229083010344766,0.33791787500376813,0.016330708007444628,4,0.0008,7.6188,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.0032838750048540533,0.027068124996731058,0.05073724999965634,0.006208833001437597,0.003322874996229075,eigsh,0.0003902909957105294,0.0919860419962788,0.0008410839946009219,0.24508512498869095,0.9997376028296932,0.7307489770752373,0.702122333997977,2.88e-06,3.2e-07,sparse,4.472013000000004,0.7955522499978542,30.312514305114746,420.859375,421.328125,0.46875
2.0,Gaussian random projection,5,220260432,5000,3,3,12696,0.1394,0.6253596041714309,0.5451092297343718,0.3358540420013014,0.025276250002207235,0.3073233750037616,0.025989916000980884,4,0.0008,7.6176,20.0,12577.932147200001,2.5155864294400003,7.5467592883200005,0.11097779555911182,0.003316958012874238,0.02731812500860542,0.04541645900462754,0.015217541003949009,0.0022983749950071797,eigsh,0.00024116699933074415,0.09434404200874269,9.845801105257124e-05,0.2128760420018807,0.999699872264739,0.7285259870966622,0.6684488340251846,2.88e-06,3.2e-07,sparse,4.6303920000000005,0.7855613330029882,30.31231117248535,421.328125,421.75,0.421875
