n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,14,Random Projection,8.266623070514973,1.575305291723202,0.0434025420729471,0.0197525830008089,0.0009146670054178,0.0094445840222761,2.4500011932104823e-05,0.0003805000160355,0.0001029999984893,8.558397530578077e-05,7.650000043213367e-05,6.52089947834611e-05,5.792011506855488e-06,0.0190080839965958,0.0197525830008089,0.019749169005081,3.4139957278966904e-06,0.0301118340285029,,,,,,,,,,,,,,,,,,
200,14,Random Sampling,11.384437069023452,1.4075079149706016,0.0318534583099144,0.0270334999950137,0.0009146670054178,0.0151125840202439,,,,,,,,,0.0270334999950137,0.0270306660095229,2.8339854907244444e-06,0.0430607510206755,0.0005764579982496,0.0004482080112211,0.0031162079831119,5.708402022719383e-05,0.0001041249779518,0.0227285830187611,,,,,,,,,,,,
200,14,Non-random,9.438031452227516,0.705789235639982,0.0228099173553718,0.0930337499885354,0.0009146670054178,0.0229125420155469,,,,,,,,,0.0930337499885354,0.0930321249761618,1.6250123735517263e-06,0.1168609590095002,,,,,,,0.0611969169985968,0.0318116249982267,2.3582979338243604e-05,,,,,,,,,
200,15,Random Projection,7.869314253337934,0.66078697421981,0.0149007835449481,0.1108642909966874,0.0006149169930722,0.0147456669947132,1.262497971765697e-05,0.0001930000144056,5.9999991208314896e-05,3.987501258961856e-05,2.7542002499103543e-05,3.7999998312443495e-05,2.6250199880450964e-06,0.1104886250104755,0.1108642909966874,0.1108622920291964,1.9989674910902977e-06,0.126224874984473,,,,,,,,,,,,,,,,,,
200,15,Random Sampling,11.105022521247976,0.7055630936227951,0.021403705430705,0.025876916013658,0.0006149169930722,0.0136072919995058,,,,,,,,,0.025876916013658,0.0258728319604415,4.0840532165020704e-06,0.0400991250062361,0.000666915992042,0.0004360000020824,0.0014016669883858,2.5040993932634592e-05,7.741598528809845e-05,0.0232657919987104,,,,,,,,,,,,
200,15,Non-random,9.37369377610134,0.300768882858435,0.0277777777777777,0.2795803339977283,0.0006149169930722,0.025729124987265,,,,,,,,,0.2795803339977283,0.2795790419913828,1.2920063454657793e-06,0.3059243759780656,,,,,,,0.1679069579986389,0.1116650420008227,7.041991921141744e-06,,,,,,,,,
200,16,Random Projection,8.318576508647073,1.2121212121212122,0.0505567208084689,0.0414405000046826,0.000585708010476,0.0121589580085128,1.2083008186891677e-05,0.0001956670021172,6.629098788835108e-05,4.083302337676287e-05,2.8458016458898783e-05,3.791699418798089e-05,2.749991836026311e-06,0.041054458997678,0.0414405000046826,0.0414384580217301,2.04198295250535e-06,0.0541851660236716,,,,,,,,,,,,,,,,,,
200,16,Random Sampling,11.153890767259936,1.245364088647671,0.0462394178747903,0.0244244580098893,0.000585708010476,0.024265916988952,,,,,,,,,0.0244244580098893,0.0244209590018726,3.4990080166608095e-06,0.0492760830093175,0.0004394580028019,0.0002452500048093,0.0041995840147137,6.729099550284445e-05,0.0001115839986596,0.0193577919853851,,,,,,,,,,,,
200,16,Non-random,9.304354651751076,0.6282225237449118,0.0482993197278911,0.1003927909769117,0.000585708010476,0.0206420000176876,,,,,,,,,0.1003927909769117,0.1003910430008545,1.7479760572314262e-06,0.1216204990050755,,,,,,,0.0782099589996505,0.0221737920073792,7.291993824765086e-06,,,,,,,,,
200,17,Random Projection,7.898533445300833,0.9439167797376752,0.0445748638453411,0.0236160000204108,0.00137129201903,0.0122712079901248,2.4083012249320745e-05,0.0003834999806713,0.0001147919974755,9.133300045505166e-05,7.766700582578778e-05,7.687500328756869e-05,6.375019438564777e-06,0.0228375000006053,0.0236160000204108,0.0236121250200085,3.875000402331352e-06,0.0372585000295657,,,,,,,,,,,,,,,,,,
